	T0	T0	T2	T2	T2_CIS	T2_CIS	T3	T3	T3_CIS	T3_CIS
	Rep1	Rep2	Rep1	Rep2	Rep1	Rep2	Rep1	Rep2	Rep1	Rep2
id										
ADNP2_+_77866879.23-P1P2	5191	5941	15297	10763	3049	7458	20343	13461	2788	5239
ADNP2_+_77867018.23-P1P2	5579	6451	4241	8447	2710	19051	1545	4085	3700	21245
ADNP2_+_77867050.23-P1P2	5611	6657	4521	2144	10422	4049	2819	596	10180	1950
ADNP2_-_77867068.23-P1P2	3687	5296	6954	4424	4894	694	10689	1178	2829	105
ADNP_+_49548061.23-P1P2	3481	3953	6638	3811	2219	7696	9152	2192	924	9092
ADNP_+_49548215.23-P1P2	3632	3923	6015	7884	10569	5094	6165	15685	7658	3424
ADNP_+_49548236.23-P1P2	6039	7204	16287	16178	10146	34161	17053	24225	3963	62884
ADNP_-_49548038.23-P1P2	2990	3472	655	934	379	86	201	28	71	10
ADNP_-_49548206.23-P1P2	2715	2457	1867	5016	959	895	396	4903	88	147
AEBP2_+_19592455.23-P1P2	4319	4636	5429	3065	1318	10103	5041	1289	755	5785
AEBP2_+_19592473.23-P1P2	5314	5871	5816	6029	8197	5967	4037	7115	7745	1511
AEBP2_-_19592388.23-P1P2	4159	3757	2317	3699	1312	2378	1899	2905	1947	1084
AEBP2_-_19592538.23-P1P2	3413	4113	982	10881	6008	5740	296	10290	8135	2411
AEBP2_-_19592586.23-P1P2	4634	5269	3587	2763	6378	1239	3553	2128	6013	1357
AES_+_3062633.23-P1P2	2413	2767	2741	1111	4963	113	3484	528	5173	15
AES_+_3062686.23-P1P2	4751	5182	7255	4309	9261	888	6658	1717	10336	198
AES_+_3062692.23-P1P2	4883	5037	12755	1898	26180	13406	9066	1160	22856	15382
AES_-_3062569.23-P1P2	2976	3370	1118	740	1137	91	314	815	236	5
AES_-_3062648.23-P1P2	6275	6952	16887	9309	3675	4339	18277	5481	1967	6277
AGGF1_+_76326070.23-P1P2	5055	5130	7629	2157	6009	1525	5430	1442	3987	222
AGGF1_+_76326122.23-P1P2	3341	3759	1678	1248	1095	102	386	470	623	40
AGGF1_+_76326196.23-P1P2	2732	3425	4934	5726	2257	4801	2564	5961	2392	3114
AGGF1_-_76326089.23-P1P2	1534	1964	149	2378	481	3	14	949	97	7
AGGF1_-_76326158.23-P1P2	4541	4503	5684	9524	1459	4207	6277	10637	889	2557
AGO1_+_36348598.23-P1P2	4103	4650	2105	5653	582	5908	613	4148	528	18515
AGO1_+_36348604.23-P1P2	3422	3906	2406	5593	3638	2781	1258	3900	2824	2481
AGO1_-_36348664.23-P1P2	4966	5558	5864	7012	2828	4442	4139	15265	1238	1664
AGO1_-_36348679.23-P1P2	3574	4139	924	2930	576	1011	308	1808	125	477
AGO1_-_36348692.23-P1P2	3844	3929	8344	3878	2008	1008	7460	1994	1450	114
AGO2_+_141646042.23-P1P2	2930	3268	3204	613	518	1051	2670	71	419	1637
AGO2_+_141646084.23-P1P2	5244	5024	6818	4362	4718	571	5490	1286	3412	548
AGO2_+_141646428.23-P1P2	4900	6176	7812	4436	892	1050	7517	1747	457	722
AGO2_-_141645923.23-P1P2	5141	5703	6504	7528	6483	10501	4687	4906	2684	6703
AGO2_-_141646090.23-P1P2	4718	5788	10340	3849	1234	17862	12150	6142	830	24095
AGO3_+_36396538.23-P1P2	3640	4220	4129	2103	687	459	4533	921	464	382
AGO3_+_36396586.23-P1P2	4419	5201	4201	1652	3551	1792	3252	419	2910	905
AGO3_+_36396599.23-P1P2	4499	4803	2527	2794	2753	7247	2084	3733	1575	1174
AGO3_-_36396507.23-P1P2	3203	3223	5530	2372	1023	3604	7081	1692	604	2827
AGO3_-_36396555.23-P1P2	7386	7640	16920	7614	10648	3974	18437	7459	8360	1251
AGO4_+_36273483.23-P1P2	9075	10017	3277	5957	11697	1669	1390	3246	17285	4071
AGO4_+_36273504.23-P1P2	269	203	3393	44	432	11	6366	6	294	5
AGO4_+_36273531.23-P1P2	3694	4747	4605	3911	1088	12416	1917	1282	477	13787
AGO4_+_36273598.23-P1P2	4694	4677	6214	1024	4257	1446	2454	379	1985	453
AGO4_-_36273549.23-P1P2	2629	2641	655	2630	8333	127	130	922	12389	39
AGRN_+_955145.23-P1P2	3500	4301	2534	2834	574	11162	1007	1551	114	7240
AGRN_+_955236.23-P1P2	2696	3569	7754	565	685	147	6472	81	290	14
AGRN_-_954997.23-P1P2	3019	4030	3283	1863	987	5063	3399	1490	594	2002
AGRN_-_955277.23-P1P2	4829	4992	8203	980	8764	2117	10909	175	4610	652
AGRN_-_955290.23-P1P2	4844	6166	7172	5115	8901	7329	7879	6493	24127	5676
AHCTF1_+_247095335.23-P1P2	3257	2830	1044	3217	1374	2751	177	1559	807	1789
AHCTF1_+_247095519.23-P1P2	7044	8059	3284	5256	1319	3561	1724	6149	522	3975
AHCTF1_-_247095352.23-P1P2	2953	3297	4409	12239	3705	21096	5495	25603	1920	32327
AHCTF1_-_247095371.23-P1P2	4795	4921	2044	4233	195	25385	857	3203	119	39154
AHCTF1_-_247095407.23-P1P2	1567	1539	201	965	453	159	34	203	90	61
AHDC1_+_27930785.23-P1P2	3045	3018	935	7814	905	557	861	11002	197	243
AHDC1_-_27930791.23-P1P2	2592	3882	7420	4437	2255	279	8868	2250	992	38
AHDC1_-_27930826.23-P1P2	3849	3931	5121	193	8646	20	2415	32	8725	15
AHDC1_-_27930976.23-P1P2	2861	2945	2145	644	2859	313	1253	516	1623	49
AHDC1_-_27930982.23-P1P2	4045	4805	2286	7629	1503	2350	2386	7937	807	2072
AHRR_+_321668.23-P1P2	7986	8186	5151	8139	13319	4944	3025	7979	7144	3200
AHRR_+_321718.23-P1P2	7882	8992	10063	28839	7318	23538	18061	28127	3917	36382
AHRR_+_321724.23-P1P2	5296	5344	10943	5364	13644	3316	17073	1223	18735	1949
AHRR_+_321733.23-P1P2	4628	5762	8093	4003	4195	1100	7313	1126	3882	380
AHRR_-_321695.23-P1P2	4380	5428	2386	6612	2834	14572	1269	5023	1275	30495
AHR_+_17338100.23-P1P2	5508	6764	16232	4872	5155	4076	13011	4255	3313	3191
AHR_-_17338131.23-P1P2	3987	5270	2015	4679	4261	6517	564	4318	3699	3192
AHR_-_17338153.23-P1P2	2624	2961	4608	2697	2814	2774	3075	1193	943	2158
AHR_-_17338168.23-P1P2	3308	2902	3028	5470	2068	937	2634	3015	841	875
AHR_-_17338209.23-P1P2	4887	5694	6676	2859	22547	2480	8083	1131	23358	565
AIMP1_+_107237433.23-P1P2	1183	1555	1805	10	3004	825	685	5	1333	74
AIMP1_-_107237426.23-P1P2	4877	6375	3060	3873	6763	569	4472	692	4029	101
AIMP1_-_107237544.23-P1P2	2980	4137	7178	8496	7149	2451	8782	6493	9754	2698
AIMP1_-_107237570.23-P1P2	4415	4670	11216	8198	1328	8681	13563	14551	560	5719
AIMP1_-_107237582.23-P1P2	5756	6194	6497	10291	6597	12063	4873	7696	6309	47302
AKNA_+_117150313.23-P1	3317	3073	4039	5638	9125	3901	3409	18043	7153	2496
AKNA_+_117150432.23-P1	4149	4106	1847	6080	1888	1923	1121	6425	692	822
AKNA_+_117150443.23-P1	4517	5117	3487	7654	3100	1411	2703	13047	3291	1131
AKNA_+_117150489.23-P1	4897	5149	1882	2832	2215	5400	1602	4193	1298	10770
AKNA_+_117150616.23-P1	6399	7142	6984	8864	12120	5319	5418	7331	21207	2794
AKNA_+_117160832.23-P2	4192	5083	4073	6473	13614	17704	4051	8493	20968	24813
AKNA_-_117160907.23-P2	5312	5968	5840	13794	6192	4369	5260	12202	4930	2088
AKNA_-_117160926.23-P2	5091	5664	3684	1532	3756	3629	2326	1013	1834	2729
AKNA_-_117160934.23-P2	4796	5136	5587	6439	7310	6135	3017	6905	12540	4492
AKNA_-_117160954.23-P2	5219	5550	6174	17362	3779	7772	4059	15654	2140	4717
AKTIP_+_53537282.23-P1P2	5046	5188	3321	3458	3784	551	1626	1870	2473	252
AKTIP_+_53537371.23-P1P2	3857	4273	7121	17835	3144	12237	11844	31418	1890	10120
AKTIP_+_53537376.23-P1P2	2677	2587	1024	3813	2205	5574	877	4734	3309	769
AKTIP_-_53537231.23-P1P2	8061	8052	12479	1978	3372	9791	9258	1108	2022	15181
AKTIP_-_53537444.23-P1P2	2486	2612	1768	1631	2451	1323	1056	576	602	168
ALKBH8_+_107436481.23-P1P2	5085	5358	8251	8564	3746	6114	13303	13031	2751	1084
ALKBH8_+_107436503.23-P1P2	4973	5739	2100	10081	1797	51733	1262	18002	1326	75096
ALKBH8_+_107436529.23-P1P2	2026	1890	2490	643	14364	201	3912	51	12295	121
ALKBH8_+_107436866.23-P1P2	5311	6436	4117	3993	18981	21665	5020	4309	25263	52213
