	gamma_T2	gamma_T2	gamma_T2	gamma_T2	gamma_T2	gamma_T2	gamma_T2	gamma_T2	gamma_T2	gamma_T2	gamma_T2	gamma_T2	gamma_T2	gamma_T2	gamma_T2	gamma_T3	gamma_T3	gamma_T3	gamma_T3	gamma_T3	gamma_T3	gamma_T3	gamma_T3	gamma_T3	gamma_T3	gamma_T3	gamma_T3	gamma_T3	gamma_T3	gamma_T3	rho_T2	rho_T2	rho_T2	rho_T2	rho_T2	rho_T2	rho_T2	rho_T2	rho_T2	rho_T2	rho_T2	rho_T2	rho_T2	rho_T2	rho_T2	rho_T3	rho_T3	rho_T3	rho_T3	rho_T3	rho_T3	rho_T3	rho_T3	rho_T3	rho_T3	rho_T3	rho_T3	rho_T3	rho_T3	rho_T3	tau_T2	tau_T2	tau_T2	tau_T2	tau_T2	tau_T2	tau_T2	tau_T2	tau_T2	tau_T2	tau_T2	tau_T2	tau_T2	tau_T2	tau_T2	tau_T3	tau_T3	tau_T3	tau_T3	tau_T3	tau_T3	tau_T3	tau_T3	tau_T3	tau_T3	tau_T3	tau_T3	tau_T3	tau_T3	tau_T3
ACD	P1P2	0.4063655639217093	0.10976908138567647	5	5	P1P2	0.11754291395965154	0.2668740663347876	5	5	P1P2	0.08999372665656559	0.2047959073430088	5	5	P1P2	0.33718237530121076	0.09846781942253009	5	5	P1P2	0.18840896757277326	0.09255137508564622	5	5	P1P2	0.1293083357935931	0.08960417315431624	5	5	P1P2	0.3370836997981035	-0.5575483358844183	5	5	P1P2	0.6385767164995437	-0.5261698118658604	5	5	P1P2	0.386985197973997	-0.5404731235430758	5	5	P1P2	0.35592281927408986	-0.6471287710411268	5	5	P1P2	0.7291500226967182	-0.49676795296032755	5	5	P1P2	0.4658004408479741	-0.4074548013306794	5	5	P1P2	0.8042720616226005	-0.2754399983217831	5	5	P1P2	0.4752436298270556	0.027928294995127795	5	5	P1P2	0.9781049979450126	-0.019068737491236526	5	5	P1P2	0.8979811323918858	-0.10268437839605993	5	5	P1P2	0.5025051232137778	0.040172635186789145	5	5	P1P2	0.8605073287945904	0.014431404248456408	5	5
ACRBP	P1P2	0.4347133265107077	-0.2791944032595535	5	5	P1P2	0.4798149785176411	-0.46882727938857327	5	5	P1P2	0.4777803126441462	-0.38589238042891005	5	5	P1P2	0.45373606656065124	-0.19957838757417087	5	5	P1P2	0.7821673452209439	-0.29506140222672356	5	5	P1P2	0.6049089131786058	-0.25479573842056497	5	5	P1P2	0.3773158674874386	0.24442358576155754	5	5	P1P2	0.4063065227546456	-0.5666835806814113	4	4	P1P2	0.6150878610599461	-0.14364951666422957	4	4	P1P2	0.4174371376478996	0.30512816927098685	4	4	P1P2	0.6164204841517226	-0.690535529522268	4	4	P1P2	0.7925721912590378	-0.2626938099143277	4	4	P1P2	0.9220117264763711	-0.0209702515389603	5	5	P1P2	0.17268217574823985	-0.9553502745172526	5	5	P1P2	0.7689872307867291	-0.8267604321899923	5	5	P1P2	0.5577606546033036	-0.38161025213582667	5	5	P1P2	0.4096148019374154	-0.5479958566957042	5	5	P1P2	0.6896112324948418	-0.5402585175896181	5	5
ADAP1	P1P2	0.13498873595758146	-0.13497429122462246	5	5	P1P2	0.3659749317726667	-0.055695179105092835	5	5	P1P2	0.1553216441447102	-0.16423904540912632	5	5	P1P2	0.2937804171590993	-0.1187005703438596	5	5	P1P2	0.8099822948327948	-0.04616852315335671	5	5	P1P2	0.4299109283354662	-0.055068943087134135	5	5	P1P2	0.6959566752162549	0.14586515100638422	5	5	P1P2	0.1728682317561926	0.6194376899294438	5	5	P1P2	0.29513631382266503	0.5316209568158219	5	5	P1P2	0.9004906135806422	-0.24852737240323716	5	5	P1P2	0.32522948908978355	0.5244118108568648	5	5	P1P2	0.49129420156366144	0.4297493778311241	5	5	P1P2	0.7633587383715172	-0.3692362878553174	5	5	P1P2	0.43086893543965066	0.3484428259639331	5	5	P1P2	0.8915014721504576	0.13150610402847693	5	5	P1P2	0.6373005627559445	-0.21736492337308277	5	5	P1P2	0.3930692176664813	0.2617576574304239	5	5	P1P2	0.831004268432498	0.012941786253270082	5	5
ADARB1	P1P2	0.33389341354468205	-0.1393820631520283	5	5	P1P2	0.1800188383597825	-0.3210449770550397	5	5	P1P2	0.09987565235918626	-0.23708429391260755	5	5	P1P2	0.19936956259739846	-0.14046676062525884	5	5	P1P2	0.31459590648193936	-0.23224502194834037	5	5	P1P2	0.13953865506685853	-0.22332149709541904	5	5	P1P2	0.2348589844039436	0.2568209448807698	5	5	P1P2	0.8736461823428997	-0.3281519618501947	5	5	P1P2	0.7617565224375361	-0.1255960465070367	5	5	P1P2	0.053288734762303336	0.9394685915641364	5	5	P1P2	0.888328735714228	-0.3189247087701943	5	5	P1P2	0.4118144957086438	0.31439992809971457	5	5	P1P2	0.49677991186994575	-0.01219874462105558	5	5	P1P2	0.4900588370922587	-0.5755910492065986	5	5	P1P2	0.7872050679052895	-0.25993286472104044	5	5	P1P2	0.16758021933483092	0.21050844309837313	5	5	P1P2	0.5051189788894033	-0.3844525865015231	5	5	P1P2	0.8049060225176843	-0.1050753643570538	5	5
ADAT1	P1P2	0.24753125703862122	-0.29860839040184695	5	5	P1P2	0.8837354699721957	-0.06224109438757636	5	5	P1P2	0.5386573782453066	-0.13221541225475772	5	5	P1P2	0.39716718510292814	-0.16875023649860432	5	5	P1P2	0.8811492455836446	-0.09693752614028632	5	5	P1P2	0.8176116500960002	-0.09181293529644158	5	5	P1P2	0.43906236111519503	-0.7736590117685577	5	5	P1P2	0.9237222880689943	0.33182653634572007	5	5	P1P2	0.9190687751401252	-0.07882514305598605	5	5	P1P2	0.5537208642018969	-0.44518345562526923	5	5	P1P2	0.9306039912159231	0.1577164732894659	5	5	P1P2	0.8268068610522137	-0.06574795414112274	5	5	P1P2	0.4237141065607579	-1.260374349264503	5	5	P1P2	0.7151305512519615	0.20049325734014126	5	5	P1P2	0.5098419091918431	-0.5299405459621809	5	5	P1P2	0.46467069538634187	-0.6529343509854377	5	5	P1P2	0.6320456083225086	-0.016372609605010423	5	5	P1P2	0.7108542275811276	-0.35275563767500967	5	5
ADNP	P1P2	0.6003423983387279	-0.002870171067655062	5	5	P1P2	0.2560045348273845	0.05878554010146522	5	5	P1P2	0.20225356931645144	0.019321011977975793	5	5	P1P2	0.7689872307867291	-0.18255069867412085	5	5	P1P2	0.28520164095128797	-0.04758863871200129	5	5	P1P2	0.3760509656280955	-0.039635040665701206	5	5	P1P2	0.6844733501632632	-0.06733789381183078	5	5	P1P2	0.8144886307508616	-0.7801676347740493	5	5	P1P2	0.7455096558495213	-0.47725844594835515	5	5	P1P2	0.16268692151182407	-0.6278451473534994	5	5	P1P2	0.9765800106581604	0.04949499165807566	4	4	P1P2	0.6136642558110765	-0.44387011172949725	4	4	P1P2	0.9532897229969174	0.0873835040073246	5	5	P1P2	0.5610683007375705	-0.034160142193503606	5	5	P1P2	0.6233286157069311	-0.0021712458551104152	5	5	P1P2	0.3225456102331511	-0.453215783914567	5	5	P1P2	0.7096340835370625	-0.2743065334955701	5	5	P1P2	0.9983658406427606	-0.4229711271444636	5	5
ADNP2	P1P2	0.19062026322892356	0.26766104273139774	5	5	P1P2	0.9363354471180594	0.011900772763186166	5	5	P1P2	0.3751680501530008	0.059503589298452925	5	5	P1P2	0.21896703160474462	0.2686697067033741	5	5	P1P2	0.5577606547774936	-0.09539683547293322	5	5	P1P2	0.6561314969206904	0.05462680399755739	5	5	P1P2	0.6736612334296286	-0.1575411631377088	5	5	P1P2	0.4974923104276482	0.15054939635211753	5	5	P1P2	0.7787400548357731	0.17685543892107022	5	5	P1P2	0.8536468646015424	0.2185910521821507	5	5	P1P2	0.4717733692812792	0.41779010508959824	5	5	P1P2	0.6714313009648298	0.3695193975751954	5	5	P1P2	0.5429947624877025	0.23715251593561928	5	5	P1P2	0.6638453085964211	0.07293906573224235	5	5	P1P2	0.4419746930583536	0.10355104383191234	5	5	P1P2	0.2746286263392115	0.22065243098569046	5	5	P1P2	0.6668217273054988	-0.016481681747608324	5	5	P1P2	0.3269733214335925	0.04797698789421955	5	5
AEBP2	P1P2	0.19481783831483523	-0.24902784803176822	5	5	P1P2	0.8265344018046764	0.029789980201601406	5	5	P1P2	0.33225671839980764	-0.09012380652898945	5	5	P1P2	0.3646731991961465	-0.15105103605686318	5	5	P1P2	0.6355468671202342	0.06424928055686713	5	5	P1P2	0.5278904811172386	-0.030489561054747122	5	5	P1P2	0.33297218636632664	0.40809462643253475	5	5	P1P2	0.7544967804609709	0.19914116070883178	5	5	P1P2	0.2509207632687921	0.4027008921151875	5	5	P1P2	0.1923524075434757	0.5144242513494536	5	5	P1P2	0.7518083140496785	-0.03821713641954131	5	5	P1P2	0.42922089841826094	0.3591865859496523	5	5	P1P2	0.7261676593109587	-0.2073692240105619	5	5	P1P2	0.5025051232137778	0.12790003668128483	5	5	P1P2	0.5572103042638956	0.16059671034330206	5	5	P1P2	0.3221450395137788	0.1478926401546927	5	5	P1P2	0.9441573788593287	0.009139233366417776	5	5	P1P2	0.3921620495833126	0.15348213165988986	5	5
AES	P1P2	0.24221251053029746	0.09218229497839547	5	5	P1P2	0.13307422616653963	-0.2950652724670669	5	5	P1P2	0.9044676023219548	-0.08582904444389501	5	5	P1P2	0.2560045348273845	0.003446068657066398	5	5	P1P2	0.1401981679933293	-0.1742431649278058	5	5	P1P2	0.7453087766956306	-0.05957322674575863	5	5	P1P2	0.27304274955363483	0.14875543310515263	5	5	P1P2	0.2051952119163052	-0.48605979287400564	5	5	P1P2	0.2831600283816126	0.0002953851667405842	5	5	P1P2	0.443962717265009	0.05721145356383802	5	5	P1P2	0.3207416050832842	-1.1262528703065138	5	5	P1P2	0.26920660162610144	-0.3864095333902988	5	5	P1P2	0.18731044170014688	0.893551518106445	5	5	P1P2	0.19285060775830876	-0.6532242765298059	5	5	P1P2	0.7840554331155511	-0.06506480192468356	5	5	P1P2	0.2960465334951744	0.17680789704178404	5	5	P1P2	0.27860713299580175	-0.8752680802366699	5	5	P1P2	0.7114645777844859	-0.19502659016731164	5	5
AGGF1	P1P2	0.753383523419348	-0.28723074405424054	5	5	P1P2	0.8630826615871316	-0.08118177246761533	5	5	P1P2	0.663250658851049	-0.14394244040944357	5	5	P1P2	0.3939776561099346	-0.36354250725625786	5	5	P1P2	0.9728781608900681	0.03727495290291588	5	5	P1P2	0.5682672623927842	-0.1980736995182336	5	5	P1P2	0.8719733738701761	-0.017330933743808046	5	5	P1P2	0.0969678354352298	-2.867970798561263	5	5	P1P2	0.06176177933599196	-1.4037226413399784	5	5	P1P2	0.44543795511091844	0.2638072473779585	5	5	P1P2	0.02849109323940641	-1.8818897443776883	5	5	P1P2	0.05158823581210252	-0.7560058456034836	5	5	P1P2	0.28928317124797287	-0.579168302143253	5	5	P1P2	0.19822441250146328	-1.4311258948745493	5	5	P1P2	0.15389759128094757	-0.9237686768091654	5	5	P1P2	0.3384210867948796	-0.4174642419168328	5	5	P1P2	0.13307422616653963	-0.7567618436580096	5	5	P1P2	0.12341582421095343	-0.5164252522431557	5	5
