	T0	T0	T2	T2	T2_CIS	T2_CIS	T3	T3	T3_CIS	T3_CIS
	Rep1	Rep2	Rep1	Rep2	Rep1	Rep2	Rep1	Rep2	Rep1	Rep2
id										
KLF12_-_74708523.23-P1P2	6444	7977	10600	9937	4545	18335	9619	7956	4376	6127
KLF13_+_31619099.23-P1P2	2733	3656	4368	2651	5119	4528	3936	3749	2856	2243
KLF13_+_31619119.23-P1P2	2121	3110	4623	2155	632	3577	4660	5201	203	1838
KLF13_+_31619130.23-P1P2	2885	4407	2393	7340	1016	2069	1848	2652	146	619
KLF13_+_31619428.23-P1P2	5387	5605	9561	1840	4356	10511	8421	1553	8326	8206
KLF13_-_31619098.23-P1P2	3827	5352	6511	6190	1769	3813	7360	3280	1006	525
KLF16_-_1863458.23-P1P2	5340	6472	2259	5114	1842	7165	1493	5946	1255	24179
KLF16_-_1863507.23-P1P2	4186	6357	6047	3512	37810	3622	4715	1294	75249	7481
KLF16_-_1863564.23-P1P2	5580	7274	1434	5002	3299	5023	520	5219	2752	3538
KLF16_-_1863582.23-P1P2	3523	5399	1082	1232	1705	2039	149	533	1476	195
KLF16_-_1863585.23-P1P2	4989	6265	3907	1831	2337	613	2400	477	6159	80
KLF2_+_16435633.23-P1P2	3307	4625	1582	3501	812	755	387	2074	572	1496
KLF2_+_16435686.23-P1P2	5454	6544	6295	5349	4479	2686	4190	3882	1424	872
KLF2_+_16435706.23-P1P2	3751	4773	1396	1535	1817	4036	712	1159	679	1428
KLF2_-_16435876.23-P1P2	1458	1769	3676	1984	809	2514	3479	1157	724	1989
KLF2_-_16435924.23-P1P2	5458	7264	5621	3436	2375	6554	5100	1244	1299	5154
KLF3_+_38665772.23-P1P2	4440	5654	7728	2653	7810	8007	7146	3477	23207	7859
KLF3_+_38665785.23-P1P2	4259	5324	4452	3167	2879	8308	6422	1673	3040	14620
KLF3_+_38665804.23-P1P2	4684	5114	2341	3937	1911	2059	2468	7581	1367	762
KLF3_+_38665832.23-P1P2	3758	3949	15545	1303	9407	5460	10363	569	8673	5990
KLF3_-_38665813.23-P1P2	4972	6833	3741	6343	2867	11481	2667	5915	875	16357
KLF5_+_73633330.23-P1P2	3704	4701	1060	1667	1806	6728	301	893	990	3542
KLF5_-_73633181.23-P1P2	6541	8596	18983	3603	1381	1969	27792	3595	260	1452
KLF5_-_73633191.23-P1P2	4412	7833	1821	4648	728	2059	520	6671	121	480
KLF5_-_73633194.23-P1P2	1916	2425	382	239	945	87	159	12	134	51
KLF5_-_73633232.23-P1P2	6361	8038	4600	2876	2239	4194	2113	1620	453	3498
KLF9_+_73028583.23-P1P2	2240	2275	2577	2041	3201	328	807	2214	5574	54
KLF9_+_73028824.23-P1P2	4128	4461	9506	4553	4279	2640	9263	2631	2100	1601
KLF9_+_73028836.23-P1P2	4881	5327	9374	1034	4045	7715	5951	875	1968	5545
KLF9_+_73028841.23-P1P2	8492	11744	7695	8397	3793	10118	4685	5637	2208	3669
KLF9_+_73028846.23-P1P2	4775	6240	8516	1811	2022	922	8701	1250	4472	300
KRBA1_+_149412042.23-P1P2	6147	6762	3795	4272	3942	7675	1822	4526	4015	1655
KRBA1_+_149412067.23-P1P2	3124	3708	3884	2124	3259	2620	3828	849	1914	1260
KRBA1_+_149412070.23-P1P2	4203	6922	6380	2559	818	9826	5766	1232	173	6167
KRBA1_+_149412138.23-P1P2	5783	6895	4440	718	7641	482	2533	428	29028	933
KRBA1_-_149412079.23-P1P2	5252	7255	1838	4555	1449	7470	770	3828	268	5847
KRI1_+_10676450.23-P1P2	5075	6679	2996	743	1137	1833	1007	214	818	389
KRI1_+_10676632.23-P1P2	5109	6559	2114	532	173	214	842	48	48	30
KRI1_-_10676483.23-P1P2	3234	4021	863	1220	901	1668	506	495	536	3114
KRI1_-_10676612.23-P1P2	3078	3800	204	194	64	129	24	28	4	4
KRI1_-_10676665.23-P1P2	6719	7841	7023	1332	2457	391	5964	402	2701	99
KRR1_+_75905126.23-P1P2	2502	3403	3492	2978	969	3029	2033	1805	238	3350
KRR1_+_75905291.23-P1P2	6585	7605	5506	2324	3897	3598	3231	1713	1706	1199
KRR1_+_75905336.23-P1P2	2910	4438	420	1739	202	646	46	1266	23	220
KRR1_+_75905342.23-P1P2	2387	3163	16	7	74	67	2	3	2	3
KRR1_+_75905358.23-P1P2	4991	7535	4850	1604	1728	2286	4953	395	383	592
L3MBTL2_+_41601375.23-P1P2	3875	4949	946	4220	1488	1923	532	3619	1033	902
L3MBTL2_-_41601313.23-P1P2	4232	5590	1447	427	512	873	502	108	152	426
L3MBTL2_-_41601369.23-P1P2	1172	1242	1591	211	1525	606	257	52	821	32
L3MBTL2_-_41601380.23-P1P2	3701	4078	2703	959	2511	972	1719	418	701	661
L3MBTL2_-_41601390.23-P1P2	6022	6751	3765	1992	6288	2682	1722	883	2461	872
LARP1B_+_128982455.23-P1P2	5920	7972	5424	5994	6719	6211	6149	4959	5362	6833
LARP1B_+_128982490.23-P1P2	1919	2321	845	1153	902	2395	386	608	392	5374
LARP1B_+_128982493.23-P1P2	3262	4268	5957	1416	12360	2098	5683	1473	17607	2236
LARP1B_+_128982518.23-P1P2	5189	6246	4634	5231	5408	4011	3189	2342	3601	1910
LARP1B_-_128982504.23-P1P2	1990	3319	1329	4816	906	4354	716	3872	208	1089
LARP1_+_154092568.23-ENST00000336314.4	4419	5127	1615	6259	2296	13151	1688	14343	855	4269
LARP1_+_154092615.23-ENST00000336314.4	4828	5519	9287	2453	2119	1244	21599	851	737	1302
LARP1_-_154092432.23-ENST00000336314.4	4738	5117	1056	5867	1050	2753	1041	3790	847	1615
LARP1_-_154092453.23-ENST00000336314.4	5729	7966	3539	1001	4221	2631	1051	377	3761	320
LARP1_-_154092586.23-ENST00000336314.4	6219	8366	17172	8605	27559	6109	26103	7320	53018	1955
LARP4B_+_931636.23-ENST00000316157.3	5032	6601	3770	1704	3698	5367	3392	927	2208	1505
LARP4B_+_931645.23-ENST00000316157.3	7553	7299	13131	2468	15207	1569	18764	1806	29328	589
LARP4B_-_931663.23-ENST00000316157.3	7256	9697	9830	3294	4741	16688	8052	2016	2058	32475
LARP4B_-_931673.23-ENST00000316157.3	6130	6409	4020	9370	5043	4068	3433	6313	2694	3394
LARP4B_-_931696.23-ENST00000316157.3	4504	6186	4938	8720	4326	9870	3216	8205	3138	12416
LARP4_+_50794895.23-P1P2	5317	6645	2958	4588	770	4298	1782	2468	201	916
LARP4_-_50794693.23-P1P2	3501	4387	962	6798	360	3276	735	3275	68	1999
LARP4_-_50794762.23-P1P2	4340	5491	2963	2930	578	972	2176	1243	167	162
LARP4_-_50794765.23-P1P2	2027	2534	2623	980	3022	502	2518	215	2828	136
LARP4_-_50794776.23-P1P2	4713	5757	4060	2953	2843	1404	2430	1392	931	523
LARP6_+_71146055.23-P1P2	5086	6682	7738	7767	10909	6174	9130	4689	9910	447
LARP6_+_71146449.23-P1P2	3984	4417	8021	9736	1928	3751	9623	6233	323	713
LARP6_+_71146480.23-P1P2	7328	10158	8877	15894	2791	9931	11552	22329	1827	2989
LARP6_-_71146443.23-P1P2	6477	8632	4976	10014	11951	17023	3191	8396	13146	35488
LARP6_-_71146507.23-P1P2	7792	9617	4206	9199	5257	9991	2580	13242	7193	5348
LARP7_+_113558357.23-P1P2	5884	7022	3225	8366	2935	2991	2893	6179	1371	1346
LARP7_-_113558337.23-P1P2	5139	7307	8334	8960	2541	2735	5032	6790	1488	1603
LARP7_-_113558569.23-P1P2	2766	3194	3317	930	1026	555	2886	874	490	173
LARP7_-_113558634.23-P1P2	5090	5800	4276	2646	2898	1161	3051	2930	1737	837
LARP7_-_113558655.23-P1P2	4928	6710	7354	8346	3037	5710	5584	7433	1770	2699
LBX2_+_74730203.23-P1P2	1883	1890	1021	149	301	882	836	24	55	243
LBX2_+_74730422.23-P1P2	5596	7558	4252	8289	2152	4835	1858	8029	1067	5309
LBX2_-_74730385.23-P1P2	3203	4126	3544	2003	4574	5470	2596	897	2771	6009
LBX2_-_74730393.23-P1P2	1997	2309	4375	1137	657	3353	6022	1093	1229	1080
LBX2_-_74730431.23-P1P2	8347	10005	8373	5768	9953	10961	9472	9337	6479	7635
LCORL_+_18023363.23-P1P2	3020	4441	4489	1435	3927	1713	6310	884	1979	1073
LCORL_-_18023296.23-P1P2	6141	7591	6270	4997	2773	3169	5014	3977	1043	585
LCORL_-_18023302.23-P1P2	1430	1294	1198	305	1559	42	1162	153	569	2
LCORL_-_18023315.23-P1P2	5249	6909	4357	3218	3153	11071	3702	2120	2551	5450
LCORL_-_18023478.23-P1P2	4226	6529	3188	6691	2236	5505	2123	5787	466	4924
LCOR_+_98592090.23-P1P2	2012	2456	1627	5335	1598	27656	1407	9188	398	22320
LCOR_+_98592971.23-P1P2	6010	5919	3862	166	1681	161	1472	63	614	12
LCOR_-_98592062.23-P1P2	3468	3862	2949	237	3482	853	3045	30	1031	218
LCOR_-_98592076.23-P1P2	6598	8034	2946	5064	4180	6889	1841	3288	3868	2566
LCOR_-_98592737.23-P1P2	3739	4515	2070	531	1838	549	950	189	724	90
LDB1_+_103874728.23-P2	6177	8400	5138	11765	3646	13569	5148	5213	2219	3717
LDB1_+_103880112.23-P1	6883	8727	5865	13836	3218	7175	3025	19173	2360	17327
LDB1_-_103874487.23-P2	2743	3084	2110	821	1569	3257	1252	305	1347	2268
LDB1_-_103874685.23-P2	4845	7013	9747	7244	9756	6496	4992	8109	15690	1713
LDB1_-_103874762.23-P2	4113	4609	7515	6501	1934	9061	16013	8523	1577	19240
LDB1_-_103874770.23-P2	3443	3751	3128	1205	7700	3552	2188	665	9156	1479
LDB1_-_103880045.23-P1	3008	4078	8971	2846	3050	3065	9973	4392	1908	2962
LDB1_-_103880055.23-P1	4918	5905	4475	10900	5832	10600	2738	14831	4809	7135
LDB1_-_103880082.23-P1	5591	5851	11250	4802	8281	5715	14636	2112	11734	5895
LDB1_-_103880117.23-P1	4180	6205	2763	15068	5064	10787	2405	28729	5284	8240
LDB2_+_16900032.23-P1P2	5775	7024	4095	6520	2235	8015	1564	5639	885	3864
LDB2_-_16900171.23-P1P2	10006	12027	11336	7974	6123	8731	9901	4038	4337	3411
LDB2_-_16900263.23-P1P2	5232	7823	8970	3421	30624	3850	16754	1870	28339	1444
LDB2_-_16900275.23-P1P2	5724	7358	3818	7342	2353	4566	2647	4942	1696	3855
LDB2_-_16900296.23-P1P2	5335	6606	6708	4703	2228	11095	7648	2672	1470	5090
LEF1_+_109087406.23-P1	5603	5967	3852	6343	3771	3466	2737	5135	1106	1141
LEF1_+_109089827.23-P2	2819	3390	3311	3879	3235	2895	2547	1455	2141	1543
LEF1_+_109089831.23-P2	4320	5435	5030	6214	2254	8953	5338	8449	957	10799
LEF1_+_109089879.23-P2	3673	5266	3625	4431	1678	3136	2110	4095	1204	1644
LEF1_+_109089929.23-P2	2843	3098	1189	1277	2984	825	412	505	2298	261
LEF1_+_109089998.23-P2	1590	2358	1298	690	509	797	311	183	31	331
LEF1_-_109087204.23-P1	3414	4191	2858	2393	9905	8150	2281	2378	25368	5641
LEF1_-_109087365.23-P1	1096	2120	1160	320	1380	1134	619	30	2591	217
LEF1_-_109087439.23-P1	9700	11411	9500	6391	7704	7833	8598	5807	10046	3257
LEF1_-_109087449.23-P1	3326	4970	5990	2901	18305	5100	6240	1715	32274	2840
LENG9_+_54974792.23-P1P2	6373	7934	7412	4261	5373	3443	5772	4724	3196	1373
LENG9_+_54974850.23-P1P2	3515	5044	5422	17417	1585	74767	5803	33693	406	54011
LENG9_+_54974874.23-P1P2	3738	4974	1196	1552	709	2180	437	672	869	848
LENG9_-_54974910.23-P1P2	2880	3232	7541	1494	3664	2632	5627	1241	1546	1439
LENG9_-_54974961.23-P1P2	3497	4838	2741	10414	1965	7316	3579	15452	877	1819
LEO1_+_52263916.23-P1P2	6522	8045	3501	5854	1478	3546	1768	3967	597	917
LEO1_+_52263935.23-P1P2	5354	6716	9270	6290	3764	916	8424	2690	1523	127
LEO1_+_52263938.23-P1P2	4884	8144	4140	4333	781	1932	2367	4062	262	376
LEO1_+_52263963.23-P1P2	5684	7917	3486	9601	2613	2323	2164	3383	841	993
LEO1_-_52263975.23-P1P2	6190	8178	9179	10291	2185	3342	7573	7060	507	1537
LGR4_+_27494260.23-P1P2	8101	9232	10602	6387	8898	7698	9957	4410	2014	2595
LGR4_+_27494287.23-P1P2	5214	6800	4151	2183	1047	2724	3227	1149	292	1228
LGR4_+_27494309.23-P1P2	3855	5205	3178	8784	1086	3876	1136	11865	217	1562
LGR4_+_27494315.23-P1P2	5984	7114	5282	6499	4723	6493	2721	7357	2161	17041
LGR4_-_27494292.23-P1P2	4160	4560	3350	1406	11876	3188	1880	586	5315	729
LIMD1_+_45635694.23-P1P2	4004	4394	4744	5598	3128	10345	6171	5410	1907	2180
LIMD1_+_45635697.23-P1P2	3749	5406	3318	1789	3784	2769	2062	969	2333	1498
LIMD1_+_45635924.23-P1P2	6442	8949	9214	10355	4573	4411	7897	8895	4739	1275
LIMD1_+_45636040.23-P1P2	1394	1980	1512	56	2340	1348	441	6	1697	780
LIMD1_-_45635629.23-P1P2	7241	10596	5168	8997	8266	21381	4322	8998	8603	30383
LIN54_+_83931846.23-P2	3224	4753	2025	940	1867	2396	1168	437	1496	1590
LIN54_+_83931898.23-P2	8426	9759	3698	8893	2433	9950	2465	7274	624	6611
LIN54_+_83931929.23-P2	5984	7782	11617	5799	4304	8756	12056	3421	2285	1207
LIN54_+_83931965.23-P2	5579	5953	5165	4097	2594	4099	3300	3166	1220	2549
LIN54_+_83933961.23-P1	5163	6783	4972	9086	4498	9445	3393	3626	1349	2925
LIN54_+_83933964.23-P1	4704	6459	2016	2993	459	7478	361	1979	100	6711
LIN54_+_83933984.23-P1	2898	4645	4551	3366	552	2347	2018	2870	98	510
LIN54_-_83931863.23-P2	6049	9019	19575	7189	3843	9100	37651	3512	1630	12190
LIN54_-_83933955.23-P1	1906	2270	1632	481	2632	1072	774	104	2714	441
LIN54_-_83934037.23-P1	4116	5030	2946	5460	6482	5027	2435	3949	3074	2542
LMCD1_+_8543519.23-P1P2	2127	2660	4912	1728	1860	2053	5818	840	1046	716
LMCD1_+_8543528.23-P1P2	888	1395	87	2460	53	139	10	2112	5	17
LMCD1_+_8543541.23-P1P2	3326	4286	2459	2378	2566	891	2914	2332	1237	804
LMCD1_+_8543571.23-P1P2	3429	5515	6534	3990	5912	3457	8399	2290	2988	1035
LMCD1_+_8543715.23-P1P2	5842	7498	5635	8311	3480	6876	7488	5910	1847	6104
LMO4_+_87794348.23-P1P2	2713	3211	1386	2360	875	390	686	697	416	428
LMO4_+_87794587.23-P1P2	3879	5764	2393	1206	1545	3644	1578	756	510	2022
LMO4_+_87794595.23-P1P2	3376	4441	9410	7742	7928	12403	9745	7759	11509	4848
LMO4_+_87794787.23-P1P2	3771	4217	3661	6158	5594	12509	2728	10199	1471	5064
LMO4_-_87794207.23-P1P2	5631	6981	11403	4309	4314	4990	13236	3052	1998	1998
LRCH4_+_100183739.23-P1	6923	8032	7378	12115	5688	4530	8107	23953	2263	2767
LRCH4_+_100183745.23-P1	5287	6253	3611	6123	2492	5422	2293	2343	1341	2124
LRCH4_+_100183782.23-P1	3786	4926	5812	9533	1152	7901	4767	13842	605	15949
LRCH4_-_100179764.23-P2	3744	4570	5124	5427	3271	864	8517	4412	3389	176
LRCH4_-_100179767.23-P2	3922	5137	5231	2632	3914	3785	4229	1207	8325	646
LRCH4_-_100179952.23-P2	5351	6417	6255	1919	3100	3501	3537	1558	1735	2647
LRCH4_-_100179957.23-P2	6525	8750	7668	5957	6688	5183	6819	8027	4958	5221
LRCH4_-_100179981.23-P2	2873	3495	1700	2744	1154	3723	3299	1278	227	978
LRCH4_-_100183732.23-P1	2021	2522	1145	5177	1499	1166	1196	8032	1990	446
LRCH4_-_100183735.23-P1	5403	7090	8439	4034	2835	4221	6619	3436	1395	2028
LRFN1_+_39805884.23-P1P2	2487	3074	5749	2600	1278	658	7009	1876	451	239
LRFN1_-_39805647.23-P1P2	2932	4654	2867	2901	1952	2823	1497	1730	637	400
LRFN1_-_39805697.23-P1P2	4707	6995	2647	7043	4832	8509	1275	5606	4329	7212
LRFN1_-_39805856.23-P1P2	3303	4062	3696	1808	2140	849	1937	2981	1426	134
LRFN1_-_39805879.23-P1P2	5858	6370	3830	4734	5683	2654	1603	3401	1455	423
LRRC47_+_3700357.23-P2	7005	9305	11896	7299	14024	6955	8289	8272	13988	6358
LRRC47_+_3700537.23-P2	5764	7540	3845	18669	4581	102856	2666	25962	2311	59364
LRRC47_+_3700558.23-P2	4769	6365	9878	3349	11167	2397	14587	3121	4366	976
LRRC47_+_3700568.23-P2	7454	9562	10638	8596	6652	4887	6188	10864	4071	5795
LRRC47_+_3713006.23-P1	5660	6713	8086	7152	3950	4896	10447	4252	3541	2001
LRRC47_+_3713010.23-P1	7918	8782	3907	7136	4343	5915	2348	4827	2333	1704
LRRC47_+_3713030.23-P1	3809	4548	6616	2172	3805	2185	7874	3727	2264	460
LRRC47_+_3713033.23-P1	5327	6659	2068	2998	1625	4446	1706	1472	1097	5233
LRRC47_+_3713036.23-P1	6805	9072	9919	7492	9660	7051	9086	11292	8911	6551
LRRC47_-_3700682.23-P2	994	1098	222	103	36	349	33	16	1	218
LRRFIP1_+_238600848.23-P1P2	4636	6507	8802	5376	4595	22993	10634	5312	2984	59909
LRRFIP1_+_238600864.23-P1P2	5663	7437	8541	4474	4548	4891	7995	5365	1373	3839
LRRFIP1_+_238600895.23-P1P2	5329	7562	8610	5374	3817	6450	6560	4593	2470	5743
LRRFIP1_-_238600795.23-P1P2	5594	6772	3308	6158	3617	21079	3054	7737	1447	74900
LRRFIP1_-_238600879.23-P1P2	6643	8103	3791	2696	7026	13545	3101	917	4025	4084
LSG1_+_194392901.23-P1P2	3120	3432	325	189	123	267	54	16	0	50
LSG1_-_194392874.23-P1P2	5702	6665	11665	6336	2057	5594	15565	4529	923	5547
LSG1_-_194392885.23-P1P2	2715	3194	741	10	1010	39	534	7	361	3
LSG1_-_194392907.23-P1P2	2086	2869	1332	1681	4215	1374	826	534	6793	413
LSG1_-_194392921.23-P1P2	2771	3304	423	451	914	785	145	164	611	161
LSM10_+_36863482.23-P1P2	1939	2172	14	59	17	7	2	3	0	1
LSM10_+_36863491.23-P1P2	4569	4515	1613	191	241	360	399	50	57	9
LSM10_-_36863445.23-P1P2	2447	3354	32	70	398	68	1	1	290	1
LSM10_-_36863481.23-P1P2	2272	2122	146	102	33	189	1	26	2	43
LSM10_-_36863497.23-P1P2	2807	2797	33	48	491	12	12	2	24	3
LSM11_+_157170698.23-P1P2	3208	3908	193	13	19	331	107	3	25	23
LSM11_+_157170726.23-P1P2	5164	4692	27	5	19	47	1	3	0	9
LSM11_-_157170761.23-P1P2	2531	3277	7	70	23	8	1	7	3	1
LSM11_-_157170775.23-P1P2	1515	1572	242	18	31	12	36	2	0	2
LSM11_-_157170963.23-P1P2	3353	3463	1949	518	204	152	1694	126	11	144
LSM1_+_38033943.23-P1P2	6636	8284	7747	7863	9056	3970	5755	7311	9007	3582
LSM1_+_38034001.23-P1P2	4823	6304	5390	3995	2014	1098	4193	2827	873	203
LSM1_+_38034004.23-P1P2	4837	5187	5880	4557	4515	11349	4142	7833	1413	19859
LSM1_-_38033621.23-P1P2	5135	5515	4421	5566	8227	4895	4304	6056	6971	2748
LSM1_-_38033763.23-P1P2	3519	4930	3090	4093	2742	1515	1871	2340	1481	456
LSM2_-_31774502.23-P1P2	5983	6831	998	680	323	440	998	358	68	61
LSM2_-_31774578.23-P1P2	734	951	16	42	4	0	0	2	0	1
LSM2_-_31774592.23-P1P2	863	769	5	1	0	0	1	0	1	0
LSM2_-_31774687.23-P1P2	237	322	0	0	3	1	0	0	1	0
LSM2_-_31774740.23-P1P2	2073	2032	946	33	654	444	1313	4	690	273
LSM4_+_18433805.23-P1P2	2836	3078	415	89	230	56	90	3	104	21
LSM4_+_18433820.23-P1P2	1464	1367	38	37	12	3	12	1	4	3
LSM4_+_18433887.23-P1P2	3101	4340	2042	1818	3620	3973	1030	1080	5657	785
LSM4_-_18433856.23-P1P2	3859	5015	1820	1001	3066	944	925	228	1468	529
LSM4_-_18433893.23-P1P2	1106	1328	4	5	3	0	1	8	1	0
LSM5_+_32529970.23-P1	4152	4368	155	139	258	14	60	8	201	5
LSM5_+_32534850.23-P2	4094	6333	4307	5309	2293	3650	2250	6335	1687	4784
LSM5_+_32534880.23-P2	3407	5378	2750	11284	3002	6392	3536	13250	2056	2368
LSM5_-_32529937.23-P1	1577	1556	2	0	16	30	2	0	0	1
LSM5_-_32529957.23-P1	1949	2311	78	6	12	44	2	4	6	24
LSM5_-_32529978.23-P1	2068	2843	103	37	128	19	46	2	74	3
LSM5_-_32530014.23-P1	2805	2578	590	142	119	129	1085	128	19	4
LSM5_-_32534825.23-P2	3744	5099	3121	1668	1648	2718	536	1287	652	1975
LSM5_-_32534855.23-P2	5542	6681	12299	7480	2904	4714	9600	7268	2753	8420
LSM5_-_32534865.23-P2	3934	5298	3496	7382	2187	7924	2280	7279	796	13846
LSM7_+_2328558.23-P1P2	1642	2401	34	0	36	415	0	1	3	122
LSM7_+_2328561.23-P1P2	2001	2230	31	11	410	23	2	1	411	42
LSM7_+_2328574.23-P1P2	3238	3814	1710	174	585	25	335	8	1415	3
LSM7_-_2328506.23-P1P2	3868	4425	380	65	1611	24	250	4	578	8
LSM7_-_2328534.23-P1P2	2866	3581	435	295	16	76	221	41	3	37
LYAR_+_4291828.23-P1P2	3532	4043	4214	1069	4853	2303	4198	718	2205	1383
LYAR_+_4291835.23-P1P2	2376	2876	993	851	864	289	520	242	768	131
LYAR_+_4291848.23-P1P2	5785	8325	8446	13014	2751	35030	9310	16837	1131	11754
LYAR_-_4291646.23-P1P2	6915	8689	10286	9972	5298	6585	7229	10977	5704	6145
LYAR_-_4291864.23-P1P2	7310	8731	4036	6515	10286	7360	3482	5463	11180	3142
LYL1_+_13213616.23-P1P2	4151	5528	3134	11445	4096	8115	2097	10718	6695	11515
LYL1_+_13213681.23-P1P2	1161	1133	318	640	991	1141	469	343	1113	745
LYL1_-_13213457.23-P1P2	1702	1673	688	425	1272	550	266	391	293	221
LYL1_-_13213630.23-P1P2	9075	10713	17815	2234	9443	2902	16558	833	17280	1206
LYL1_-_13213672.23-P1P2	5424	5999	5140	2031	5249	7612	4630	1274	2572	7631
LZTR1_+_21336615.23-P1P2	1782	2287	800	783	5529	1448	286	241	7149	432
LZTR1_-_21336611.23-P1P2	2616	3603	1071	1127	198	202	549	583	7	18
LZTR1_-_21336647.23-P1P2	4487	4793	2716	7653	12553	3809	2742	7579	25280	1403
LZTR1_-_21336663.23-P1P2	4170	5699	4734	4289	8953	9063	3528	3817	12315	7128
LZTR1_-_21336673.23-P1P2	4287	5516	3910	4148	2580	3219	3472	2955	1765	620
MACC1_+_20256767.23-P1P2	3882	4587	3574	2653	2828	9228	2344	3298	1698	15273
MACC1_+_20256988.23-P1P2	6586	8982	9401	6343	36470	3900	8931	2707	73035	592
MACC1_+_20256994.23-P1P2	6834	9122	9561	17320	25823	11479	8648	14636	29546	3113
MACC1_-_20256963.23-P1P2	6013	7516	14551	3507	1810	6803	22319	2326	629	4247
MACC1_-_20256998.23-P1P2	3602	4563	1981	4912	6074	3149	2088	9195	3403	3429
MAFF_+_38598016.23-P1P2	4924	6988	5197	10797	1610	4828	3549	13346	1884	2555
MAFF_-_38598112.23-P1P2	3908	5478	13709	1527	2257	3624	12781	1241	829	1290
MAFF_-_38598138.23-P1P2	4501	6140	9119	9199	2633	3387	9272	5555	589	658
MAFF_-_38598218.23-P1P2	2908	3896	500	2310	590	1027	84	1250	46	376
MAFF_-_38598324.23-P1P2	6206	6944	9110	3357	8817	3497	13159	1496	9467	2362
MAFG_+_79885558.23-P1P2	4531	5295	12959	4324	13702	3215	15856	2998	28472	1618
MAFG_+_79885588.23-P1P2	3514	5420	1453	2366	1487	2612	1108	1384	296	954
MAFG_-_79885317.23-P1P2	3941	4818	6681	1745	4210	3017	6208	673	2498	1372
MAFG_-_79885552.23-P1P2	2807	3879	4012	5235	2919	6819	1541	6030	3447	2156
MAFG_-_79885573.23-P1P2	184	110	6	31	4	29	1	4	2	0
MAFK_+_1570609.23-P1P2	4914	5957	7268	4181	5190	3930	4511	4549	2356	700
MAFK_+_1570767.23-P1P2	4177	5966	7057	4983	1096	4793	6728	3823	460	2185
MAFK_-_1570349.23-P1P2	7996	9113	5595	8810	5980	10235	3119	7066	4061	4164
MAFK_-_1570361.23-P1P2	3340	4723	337	1096	2176	469	148	1101	6073	44
MAFK_-_1570622.23-P1P2	6075	7052	7520	5285	8458	7669	7750	2938	6557	4107
MAGED1_+_51546199.23-P2	6687	8394	24038	5013	3843	3556	23811	3697	2687	1674
MAGED1_+_51546351.23-P2	4030	5410	6352	2867	2543	2525	3586	1679	2141	2644
MAGED1_+_51546571.23-P2	4670	6456	4253	5559	4667	3543	4583	4627	2434	2990
MAGED1_+_51636778.23-P1	6696	7671	6395	8318	14788	7854	5557	4316	7430	3008
MAGED1_+_51636787.23-P1	2383	3391	6759	4287	3311	4799	7333	6980	1872	13378
MAGED1_+_51636971.23-P1	6684	6961	6718	7903	3878	7403	8246	5389	1091	3040
MAGED1_+_51636998.23-P1	3881	3981	4775	969	1078	875	3716	203	743	370
MAGED1_-_51546213.23-P2	10263	13435	10609	16866	31787	16029	8514	27195	61573	12977
MAGED1_-_51546230.23-P2	3236	3514	1411	2433	2438	2566	2125	3395	1466	6546
MAGED1_-_51636816.23-P1	6133	7215	16539	3339	4405	2948	16719	820	1399	465
MAGOHB_+_10765954.23-P1P2	3173	4385	253	725	46	543	59	376	17	98
MAGOHB_+_10765957.23-P1P2	3154	3635	1859	1827	1238	1546	2031	2431	397	538
MAGOHB_+_10766121.23-P1P2	2463	2456	2370	1130	1393	2593	1204	1031	704	1041
MAGOHB_+_10766127.23-P1P2	3203	3328	1357	788	2529	1327	1135	746	1443	777
MAGOHB_+_10766163.23-P1P2	2792	3721	5029	694	1916	919	6248	586	3196	424
MAGOH_+_53703946.23-P1P2	2646	3357	551	204	968	156	192	40	323	5
MAGOH_+_53704150.23-P1P2	551	699	69	0	63	0	6	1	4	0
MAGOH_+_53704169.23-P1P2	713	1276	42	1	20	4	31	1	1	0
MAGOH_-_53703893.23-P1P2	2096	3290	1759	1344	671	500	827	1655	47	173
MAGOH_-_53704245.23-P1P2	2486	2448	133	74	209	102	48	15	283	5
MAK16_+_33342451.23-P1P2	2126	2011	793	32	347	262	180	3	32	60
MAK16_+_33342713.23-P1P2	6814	8832	842	576	358	421	686	320	89	126
MAK16_+_33342747.23-P1P2	1344	1544	33	9	4	17	2	0	2	0
MAK16_+_33342750.23-P1P2	1418	1341	1	41	6	8	0	11	4	1
MAK16_-_33342753.23-P1P2	4894	5860	156	40	288	19	104	13	63	2
MAML1_+_179159810.23-P1P2	2842	3384	2154	1549	2691	3388	1529	1125	3425	1310
MAML1_+_179159901.23-P1P2	7194	9570	4304	11083	11378	10078	3336	9674	21974	5179
MAML1_+_179159994.23-P1P2	3894	5511	8766	3338	6307	7258	9717	2733	5258	1604
MAML1_-_179159827.23-P1P2	5373	8095	5343	15086	5524	16392	5048	20573	3163	24081
MAML1_-_179159881.23-P1P2	3158	3586	3229	3626	2561	4618	1472	4233	738	1269
MAML2_-_96076303.23-P1P2	3301	3589	2393	1600	4260	1178	1655	849	3230	397
MAML2_-_96076314.23-P1P2	4816	6276	5028	7779	2873	3798	2674	4286	2540	1364
MAML2_-_96076341.23-P1P2	5984	5929	8541	4072	8148	2023	4287	5814	10316	233
