	gamma_T2	gamma_T2	gamma_T2	gamma_T2	gamma_T2	gamma_T2	gamma_T2	gamma_T2	gamma_T2	gamma_T2	gamma_T2	gamma_T2	gamma_T2	gamma_T2	gamma_T2	gamma_T3	gamma_T3	gamma_T3	gamma_T3	gamma_T3	gamma_T3	gamma_T3	gamma_T3	gamma_T3	gamma_T3	gamma_T3	gamma_T3	gamma_T3	gamma_T3	gamma_T3	rho_T2	rho_T2	rho_T2	rho_T2	rho_T2	rho_T2	rho_T2	rho_T2	rho_T2	rho_T2	rho_T2	rho_T2	rho_T2	rho_T2	rho_T2	rho_T3	rho_T3	rho_T3	rho_T3	rho_T3	rho_T3	rho_T3	rho_T3	rho_T3	rho_T3	rho_T3	rho_T3	rho_T3	rho_T3	rho_T3	tau_T2	tau_T2	tau_T2	tau_T2	tau_T2	tau_T2	tau_T2	tau_T2	tau_T2	tau_T2	tau_T2	tau_T2	tau_T2	tau_T2	tau_T2	tau_T3	tau_T3	tau_T3	tau_T3	tau_T3	tau_T3	tau_T3	tau_T3	tau_T3	tau_T3	tau_T3	tau_T3	tau_T3	tau_T3	tau_T3
ACD	P1P2	0.00017508314466818352	-0.7645452672642543	5	5	P1P2	0.00053227005925846	-0.6484319414416003	5	5	P1P2	0.00016888949339239742	-0.7064886043529274	5	5	P1P2	0.0001994531883725083	-0.7913294335347728	5	5	P1P2	0.0007914432592682439	-0.7783786620808965	5	5	P1P2	0.0002100659739768819	-0.7836727474464257	5	5	P1P2	0.965620529568407	-0.23633348762829431	5	5	P1P2	0.8321074543313606	-0.04059435313738996	5	5	P1P2	0.9986892063051509	-0.05280774290876636	5	5	P1P2	0.2574483940855038	-0.3369239278111462	4.0	4.0	P1P2	0.7275183712690445	0.07430806620648069	3.0	3.0	P1P2	0.5207132383603845	-0.09786336114789107	3.0	3.0	P1P2	0.0002381983967393623	-1.7987077095082376	5	5	P1P2	0.023830071997997953	-1.25001137391434	5	5	P1P2	0.00021348975844860202	-1.5030949356713235	5	5	P1P2	0.0002212073978629852	-1.9467970410337643	5	5	P1P2	0.007088686239726673	-1.6306166502700743	5	5	P1P2	0.000195604890787986	-1.749350577046642	5	5
ACRBP	P1P2	0.9816893260041724	-0.055947696135404734	5	5	P1P2	0.4577056458220655	-0.0638736818507612	5	5	P1P2	0.3113923123844954	-0.0343531712880622	5	5	P1P2	0.6610029789422898	-0.1004603687311919	5	5	P1P2	0.5688963628913881	-0.06616941259597477	5	5	P1P2	0.30323626011586835	-0.051283861505524365	5	5	P1P2	0.6377593792804283	0.02813742873865969	5	5	P1P2	0.28028468367022863	0.4340912119420129	5	5	P1P2	0.3419185884764624	0.17290761536246702	5	5	P1P2	0.472645740668161	-0.10585866108036972	5.0	5.0	P1P2	0.43420169370377526	0.3462032025083605	5.0	5.0	P1P2	0.6980753587882575	0.0639644039937174	5.0	5.0	P1P2	0.5414236092395572	-0.1692066251093046	5	5	P1P2	0.4606894521526581	0.12182152291135627	5	5	P1P2	0.9314136294204531	-0.01987904697067369	5	5	P1P2	0.19670503830930586	-0.3129142445386019	5	5	P1P2	0.5268688306455763	0.2739757854650859	5	5	P1P2	0.7195802315984939	0.02138036187311229	5	5
ADAP1	P1P2	0.00344878842107717	-0.28497281181365147	5	5	P1P2	0.014155129244346046	-0.6227418943514068	5	5	P1P2	0.001222243612247737	-0.431642497662653	5	5	P1P2	0.004497075462310037	-0.31727202608940014	5	5	P1P2	0.016430780424492995	-0.611341366178803	5	5	P1P2	0.0018002905623491132	-0.4424784682983269	5	5	P1P2	0.5646694498095826	-0.31578046475551075	5	5	P1P2	0.26102736606543453	0.8088859998611522	5	5	P1P2	0.35117634021447763	0.2736106650167807	5	5	P1P2	0.5836183570120108	-0.33049358642494625	5.0	5.0	P1P2	0.12232915669936083	0.835544240237915	5.0	5.0	P1P2	0.283786929759824	0.29593404806275747	5.0	5.0	P1P2	0.018080898495245534	-1.1289701619418544	5	5	P1P2	0.025346061635654053	-0.42937150087610226	5	5	P1P2	0.006664874943939851	-0.7697505983891676	5	5	P1P2	0.04944050781894748	-1.184655530499185	5	5	P1P2	0.09481891037608749	-0.35567366976358544	5	5	P1P2	0.026439575688192645	-0.765365494295077	5	5
ADARB1	P1P2	0.956203342905971	0.08175375045368381	5	5	P1P2	0.6681468993597249	-0.08177888578643995	5	5	P1P2	0.6021463013915236	-0.018195250672498792	5	5	P1P2	0.7073529945981479	0.08526257525185806	5	5	P1P2	0.19331588514567422	-0.17843976487873645	5	5	P1P2	0.6286618047011168	-0.05002536808577047	5	5	P1P2	0.462723587734415	-0.20688018483634876	5	5	P1P2	0.6516488668648679	0.01502662143518907	5	5	P1P2	0.5736584752701157	-0.1473819858298299	5	5	P1P2	0.21378413050542866	-0.25163098187925353	5.0	5.0	P1P2	0.6878791462660578	-0.09932423489816057	5.0	5.0	P1P2	0.34541986547244896	-0.21046767033761213	5.0	5.0	P1P2	0.4854600859123508	-0.08162437346837137	5	5	P1P2	0.5381719420022686	-0.12542459423807226	5	5	P1P2	0.375577581593035	-0.09666263737539771	5	5	P1P2	0.3603160976509169	-0.25571130865846886	5	5	P1P2	0.11937742286851839	-0.3428767107918003	5	5	P1P2	0.09978073812254003	-0.2330681358751119	5	5
ADAT1	P1P2	0.036822641007857405	-0.2665147381503725	5	5	P1P2	0.13171030865890823	-0.13192478471949948	5	5	P1P2	0.0671982847398235	-0.2834987147311307	5	5	P1P2	0.00787453141206232	-0.34282602804136103	5	5	P1P2	0.2012913196130075	-0.1481715087281075	5	5	P1P2	0.03616190825971967	-0.3515130655141578	5	5	P1P2	0.6371731707097298	0.157837029777222	5	5	P1P2	0.3420604087967165	0.39572300644982805	5	5	P1P2	0.3866135048955939	0.2767800181135251	5	5	P1P2	0.051485975816194886	0.39870194711453105	5.0	5.0	P1P2	0.9697305684098648	0.3964965200818909	5.0	5.0	P1P2	0.23590375131611974	0.3220124566929791	5.0	5.0	P1P2	0.1333984590069888	-0.49377706665681936	5	5	P1P2	0.8710722530058195	-0.08513081881342842	5	5	P1P2	0.2646000106698725	-0.19475925105761363	5	5	P1P2	0.2884692454175827	-0.1822667503357649	5	5	P1P2	0.5913433010213008	-0.25368949985787165	5	5	P1P2	0.29522346772176933	-0.16630396055776922	5	5
ADNP	P1P2	0.059504884855123646	-0.2730657503531648	5	5	P1P2	0.4854600859123508	-0.06534751346247421	5	5	P1P2	0.10618312284711907	-0.181249667732292	5	5	P1P2	0.04821949405209801	-0.40063547945180705	5	5	P1P2	0.30632642775340424	-0.2151304712927724	5	5	P1P2	0.06634533677249872	-0.282017216401021	5	5	P1P2	0.021824033785609293	0.625189775369106	5	5	P1P2	0.1673829500635423	0.38213322001334316	5	5	P1P2	0.009372843385539557	0.4085499194149027	5	5	P1P2	0.033015585780702184	0.731646589425026	5.0	5.0	P1P2	0.5061249381266051	0.09879760304579531	5.0	5.0	P1P2	0.02072104783875908	0.3778611023609346	5.0	5.0	P1P2	0.39532052206212187	0.16554397562150194	5	5	P1P2	0.49733108434580986	0.13811981373190926	5	5	P1P2	0.37778993130003946	0.1855888335294992	5	5	P1P2	0.6333238204499902	0.06898803479667602	5	5	P1P2	0.5711226335642376	-0.020544704350948757	5	5	P1P2	0.9548973532116809	-0.0217335204972533	5	5
ADNP2	P1P2	0.2832885329890109	-0.06387700119781115	5	5	P1P2	0.11648787927135168	-0.16918505000679365	5	5	P1P2	0.03084727749914192	-0.10465873638694333	5	5	P1P2	0.26389860176131896	-0.0738287872040886	5	5	P1P2	0.18721418303218307	-0.09958781682027769	5	5	P1P2	0.07044574232920828	-0.11376610481353526	5	5	P1P2	0.6047165113147155	-0.2564727438688067	5	5	P1P2	0.742567175340952	0.04863847069382284	5	5	P1P2	0.6770740302720548	-0.10135612480354816	5	5	P1P2	0.48775454328333	-0.2902074614432573	5.0	5.0	P1P2	0.961839595280803	-0.011127564969348793	5.0	5.0	P1P2	0.49847371714553024	-0.11947711495671436	5.0	5.0	P1P2	0.06781304262809594	-0.5123411677092423	5	5	P1P2	0.2731171889474211	-0.29394781930524033	5	5	P1P2	0.046842210295647516	-0.3447118253251351	5	5	P1P2	0.10636057826919132	-0.40949668182596	5	5	P1P2	0.21582106089824216	-0.14620960734974975	5	5	P1P2	0.09021234396703692	-0.4031783329568086	5	5
AEBP2	P1P2	0.8710722530624287	-0.06120208508211924	5	5	P1P2	0.8025854813830686	-0.047285368357320105	5	5	P1P2	0.6909657398761331	-0.06590260998675425	5	5	P1P2	0.9614284425147829	-0.06597761171490227	5	5	P1P2	0.6592217815485318	-0.04358818197761305	5	5	P1P2	0.884645049410192	-0.08219251092671283	5	5	P1P2	0.18392673129396864	-0.2841394500162693	5	5	P1P2	0.043432094457509694	-0.4958816918615765	5	5	P1P2	0.019657145538350327	-0.43486482353829486	5	5	P1P2	0.16862026870657554	-0.4689535766831981	5.0	5.0	P1P2	0.37430611135793257	-0.13339065620597879	5.0	5.0	P1P2	0.11216755591319356	-0.31543598389029953	5.0	5.0	P1P2	0.4707136129343741	-0.5426671048167669	5	5	P1P2	0.13639295179222205	-0.3696280801988779	5	5	P1P2	0.3556011755030162	-0.4346068792064004	5	5	P1P2	0.4429504115835846	-0.46085921732267615	5	5	P1P2	0.4299063687439314	-0.3309430999293557	5	5	P1P2	0.39943479818286365	-0.4028961085711335	5	5
AES	P1P2	0.325707665261879	-0.13333188454229347	5	5	P1P2	0.8904725812517079	-0.0036202972470456146	5	5	P1P2	0.3590263346998219	-0.09743122600339699	5	5	P1P2	0.5936102039731107	-0.11126403020708898	5	5	P1P2	0.8401971620086321	-0.031183316623514586	5	5	P1P2	0.5327743641981741	-0.05497623300658853	5	5	P1P2	0.6243345398512481	-0.24134948674054735	5	5	P1P2	0.35513316476266976	-0.049356593442994735	5	5	P1P2	0.3897751660452782	-0.16042705625957784	5	5	P1P2	0.25623484916899564	-0.5847078456458648	5.0	5.0	P1P2	0.844351571211924	0.27367390113012524	5.0	5.0	P1P2	0.5953047818203303	-0.11018010339437086	5.0	5.0	P1P2	0.10743025432463842	-0.5595458702238856	5	5	P1P2	0.4767854266657163	-0.07976718105992102	5	5	P1P2	0.07095659470390063	-0.28931304879650427	5	5	P1P2	0.05732323092787222	-0.5611086094758577	5	5	P1P2	0.7648002537524002	0.11411701429356817	5	5	P1P2	0.3350741348847358	-0.13845205753554293	5	5
AGGF1	P1P2	0.5589297874048571	-0.029473073380426273	5	5	P1P2	0.3212888243248354	0.04099786750661042	5	5	P1P2	0.7673030165133443	0.01043531434727151	5	5	P1P2	0.6598152999420479	-0.09605692995712826	5	5	P1P2	0.26565453103660674	0.05153816560538224	5	5	P1P2	0.5025402031760322	-0.010545012851371835	5	5	P1P2	0.8396256360169296	-0.09306969370543172	5	5	P1P2	0.392568411989097	0.21847356722672595	5	5	P1P2	0.620957385530388	0.17391359794075398	5	5	P1P2	0.9753611934937007	0.12598964463951629	5.0	5.0	P1P2	0.20307201715619316	0.11963141221191803	5.0	5.0	P1P2	0.4371105837061421	0.1384783117609838	5.0	5.0	P1P2	0.6789192028693856	-0.16528256994762677	5	5	P1P2	0.07705256798735136	0.30976292313077847	5	5	P1P2	0.5523328548198689	0.024818116927030894	5	5	P1P2	0.7710617078594085	-0.09903054586889637	5	5	P1P2	0.1056521644059305	0.7614587218499405	5	5	P1P2	0.32009051322351356	0.2495258810366429	5	5
