	t0	t0	t1	t1	t2	t2	t3	t3
	Rep1	Rep2	Rep1	Rep2	Rep1	Rep2	Rep1	Rep2
sgId								
ENSG00000001461_NIPAL3_MP_34529.6	1050	813	724	368	800	316	1960	549
ENSG00000001461_NIPAL3_MP_34530.7	2648	1950	1153	2514	756	4720	388	9003
ENSG00000001461_NIPAL3_MP_34531.8	1400	1319	1675	1566	2574	1649	2852	1605
ENSG00000001461_NIPAL3_MP_34532.9	2344	1836	1793	1528	1062	1831	479	3017
ENSG00000001461_NIPAL3_MP_34533.10	7908	7215	6692	6908	5290	9357	7430	10177
ENSG00000004866_ST7_MP_173239.1	4408	3851	6090	4132	7428	4237	6107	5037
ENSG00000004866_ST7_MP_173240.2	6051	4592	6088	5726	4919	5084	4939	5054
ENSG00000004866_ST7_MP_173241.3	1973	1550	1565	2222	2259	1769	1512	911
ENSG00000004866_ST7_MP_173242.4	906	819	1168	655	1025	558	1401	920
ENSG00000004866_ST7_MP_173243.5	1224	1122	1530	1498	2270	1516	3131	2300
ENSG00000004866_ST7_MP_173244.6	1492	962	861	729	576	777	464	166
ENSG00000004866_ST7_MP_173245.7	685	255	407	141	423	70	319	59
ENSG00000004866_ST7_MP_173246.8	4068	3875	2604	3404	2602	2382	2977	2710
ENSG00000004866_ST7_MP_173247.9	1619	1579	1558	1936	788	2338	262	511
ENSG00000004866_ST7_MP_173248.10	3007	2457	2144	2540	3509	4234	3890	2916
ENSG00000005059_CCDC109B_MP_119669.1	3094	3172	3130	2618	4782	3360	5694	2592
ENSG00000005059_CCDC109B_MP_119670.2	1789	1806	1903	2102	2596	2277	2064	1757
ENSG00000005059_CCDC109B_MP_119671.3	1254	867	797	945	423	1531	648	1623
ENSG00000005059_CCDC109B_MP_119672.4	1576	1430	735	1214	443	797	330	362
ENSG00000005059_CCDC109B_MP_119673.5	1649	1367	1337	930	1669	748	1404	1262
ENSG00000005059_CCDC109B_MP_119674.6	3454	2768	2784	2525	2621	2716	3391	2223
ENSG00000005059_CCDC109B_MP_119675.7	3292	2840	3714	2442	3465	2221	4781	2340
ENSG00000005059_CCDC109B_MP_119676.8	876	834	670	671	301	459	481	509
ENSG00000005059_CCDC109B_MP_119677.9	1555	1176	1439	1468	805	1451	1425	993
ENSG00000005059_CCDC109B_MP_119678.10	3012	2606	3157	2310	2896	1417	4427	630
ENSG00000005486_RHBDD2_MP_157621.1	966	875	583	868	855	746	2526	952
ENSG00000005486_RHBDD2_MP_157622.2	4462	3382	3844	4097	4623	5613	4503	5828
ENSG00000005486_RHBDD2_MP_157623.3	3081	2355	1801	1855	2275	1407	2235	1333
ENSG00000005486_RHBDD2_MP_157624.4	3226	3105	2599	4491	2832	5217	4034	5570
ENSG00000005486_RHBDD2_MP_157625.5	1424	1561	997	2348	1017	3107	873	2424
ENSG00000005486_RHBDD2_MP_157626.6	1118	1045	928	1014	525	896	895	672
ENSG00000005486_RHBDD2_MP_157627.7	4754	3896	4724	4227	4991	5637	4860	5241
ENSG00000005486_RHBDD2_MP_157628.8	1697	1243	2611	1866	1830	2190	2644	1091
ENSG00000005486_RHBDD2_MP_157629.9	3246	2385	2401	3039	1416	2445	1290	2165
ENSG00000005486_RHBDD2_MP_157630.10	2220	1807	1637	1653	1409	1951	959	2392
ENSG00000006016_CRLF1_MP_196074.1	1660	1595	537	2338	559	2043	454	1817
ENSG00000006016_CRLF1_MP_196075.2	1982	1544	1557	2143	991	2268	1487	1908
ENSG00000006016_CRLF1_MP_196076.3	4267	3084	3790	3207	3186	2581	3720	3008
ENSG00000006016_CRLF1_MP_196077.4	3901	3584	3879	2758	2887	2360	2505	2565
ENSG00000006016_CRLF1_MP_196078.5	1863	1778	1923	1255	1813	629	1858	210
ENSG00000006016_CRLF1_MP_196079.6	945	590	942	627	733	435	597	170
ENSG00000006016_CRLF1_MP_196080.7	2628	1872	1424	1924	738	1267	924	2258
ENSG00000006016_CRLF1_MP_196081.8	2714	2526	1410	2359	792	2119	1276	2613
ENSG00000006016_CRLF1_MP_196082.9	3399	3383	2895	2517	3231	2581	3473	1813
ENSG00000006016_CRLF1_MP_196083.10	2815	2675	2629	2568	1826	2373	1501	2437
ENSG00000006652_IFRD1_MP_22054.1	1768	1563	1591	1411	568	773	220	826
ENSG00000006652_IFRD1_MP_22055.2	968	1069	411	1600	679	1536	379	2591
ENSG00000006652_IFRD1_MP_22056.3	811	981	542	738	578	1034	400	1561
ENSG00000006652_IFRD1_MP_22057.4	849	835	1149	1245	1353	564	2623	305
ENSG00000006652_IFRD1_MP_22058.5	3112	2454	3543	2997	3360	1695	2537	1209
ENSG00000006652_IFRD1_MP_22059.6	4790	4196	4127	3683	4525	2520	4744	1195
ENSG00000006652_IFRD1_MP_22060.7	1048	952	413	1011	382	730	350	336
ENSG00000006652_IFRD1_MP_22061.8	3483	3986	2129	4755	2349	4790	1139	3702
ENSG00000006652_IFRD1_MP_22062.9	5160	5162	3596	5346	4288	5392	5109	4691
ENSG00000006652_IFRD1_MP_22063.10	5520	3937	4991	4793	4464	3557	3733	2834
ENSG00000007312_CD79B_MP_110205.1	5331	4594	4793	4067	4734	3688	5725	3192
ENSG00000007312_CD79B_MP_110206.2	3958	3751	3684	3135	3970	2457	2882	2292
ENSG00000007312_CD79B_MP_110207.3	4799	2856	3479	2216	2344	2862	1156	1249
ENSG00000007312_CD79B_MP_110208.4	3530	2373	3575	2389	5460	2570	6625	1688
ENSG00000007312_CD79B_MP_110209.5	2805	2228	3818	2052	3266	1603	2961	1450
ENSG00000007312_CD79B_MP_110210.6	1941	2000	2046	3232	2114	5020	1930	5077
ENSG00000007312_CD79B_MP_110211.7	8283	7001	6456	6198	6688	6108	5962	4029
ENSG00000007312_CD79B_MP_110212.8	4332	3944	3494	4857	3841	5489	2748	5109
ENSG00000007312_CD79B_MP_110213.9	2264	2143	1731	1263	1582	1142	1982	1045
ENSG00000007312_CD79B_MP_110214.10	1578	1017	347	717	128	502	153	244
ENSG00000007341_ST7L_MP_27595.1	2879	2363	3497	2363	2865	3117	2818	2661
ENSG00000007341_ST7L_MP_27596.2	1124	934	409	1463	332	2390	271	2062
ENSG00000007341_ST7L_MP_27597.3	4027	3344	3241	2743	2967	3381	3042	3146
ENSG00000007341_ST7L_MP_27598.4	2962	2916	2514	3308	2506	2523	2439	1513
ENSG00000007341_ST7L_MP_27599.5	6158	5644	5676	6234	6454	5770	8923	3772
ENSG00000007341_ST7L_MP_27600.6	1434	1435	499	1080	200	1241	155	1076
ENSG00000007341_ST7L_MP_27601.7	3798	2841	3292	3321	3285	3952	5946	3352
ENSG00000007341_ST7L_MP_27602.8	2005	1302	1170	1705	1863	949	1873	1249
ENSG00000007341_ST7L_MP_27603.9	1217	910	1417	638	1927	251	1649	382
ENSG00000007341_ST7L_MP_27604.10	1453	1340	997	962	1407	959	1541	619
ENSG00000007384_RHBDF1_MP_189279.1	494	576	325	899	62	833	237	546
ENSG00000007384_RHBDF1_MP_189280.2	4498	3802	2995	3595	2587	2500	2683	1834
ENSG00000007384_RHBDF1_MP_189281.3	636	502	274	318	150	176	1532	58
ENSG00000007384_RHBDF1_MP_189282.4	2375	2338	1688	3708	2857	2719	3206	2131
ENSG00000007384_RHBDF1_MP_189283.5	4247	3246	3848	2982	2560	1841	2898	1086
ENSG00000007384_RHBDF1_MP_189284.6	3697	3035	4203	3564	4123	1910	3365	2092
ENSG00000007384_RHBDF1_MP_189285.7	3597	2684	1568	1338	1393	958	1820	592
ENSG00000007384_RHBDF1_MP_189286.8	901	601	1259	875	1139	831	2518	1245
ENSG00000007384_RHBDF1_MP_189287.9	3757	3344	4972	3688	3139	2654	2438	3865
ENSG00000007384_RHBDF1_MP_189288.10	276	264	118	146	89	47	2	64
ENSG00000007541_PIGQ_MP_91648.1	2652	1970	2338	2929	1935	3318	2133	4121
ENSG00000007541_PIGQ_MP_91649.2	1850	1115	1034	1002	1428	557	1671	938
ENSG00000007541_PIGQ_MP_91650.3	3158	2249	2893	3020	4859	3802	5236	5303
ENSG00000007541_PIGQ_MP_91651.4	8175	6783	7469	6155	9877	7250	13091	8041
ENSG00000007541_PIGQ_MP_91652.5	1880	1878	2308	1376	1093	1371	729	977
ENSG00000007541_PIGQ_MP_91653.6	6084	5736	3988	5889	3996	6217	5996	9710
ENSG00000007541_PIGQ_MP_91654.7	2277	1892	1500	2322	1207	2492	1442	2919
ENSG00000007541_PIGQ_MP_91655.8	3356	2579	3757	2123	2891	3010	5935	2547
ENSG00000007541_PIGQ_MP_91656.9	1919	1812	1157	1867	1493	1899	3246	4400
ENSG00000007541_PIGQ_MP_91657.10	2462	2431	2124	3901	1155	4774	1206	6008
ENSG00000008300_CELSR3_MP_179275.1	2194	1606	2255	1691	2294	1124	2377	1010
ENSG00000008300_CELSR3_MP_179276.2	931	857	1030	1214	411	837	1210	1934
ENSG00000008300_CELSR3_MP_179277.3	3405	2952	3806	2294	3861	2611	6197	2203
ENSG00000008300_CELSR3_MP_179278.4	1711	1341	1422	1561	1735	2126	1261	3120
ENSG00000008300_CELSR3_MP_179279.5	841	504	1132	424	737	160	465	20
ENSG00000008300_CELSR3_MP_179280.6	3881	4330	1960	4711	1938	5923	2088	6078
ENSG00000008300_CELSR3_MP_179281.7	1507	1592	634	1456	505	1784	436	2580
ENSG00000008300_CELSR3_MP_179282.8	2520	2186	2872	2043	3119	1496	2725	792
ENSG00000008300_CELSR3_MP_179283.9	2994	3064	3094	2674	2607	2320	2088	2500
ENSG00000008300_CELSR3_MP_179284.10	1875	1846	2298	1151	2784	1093	3194	871
ENSG00000010310_GIPR_MP_94374.1	742	608	453	791	391	795	239	556
ENSG00000010310_GIPR_MP_94375.2	2012	2191	2139	2405	3336	3425	8125	3026
ENSG00000010310_GIPR_MP_94376.3	1780	1516	2377	1689	2452	1362	2173	837
ENSG00000010310_GIPR_MP_94377.4	4157	4227	3382	3133	4820	2219	5256	2404
ENSG00000010310_GIPR_MP_94378.5	7221	5845	6733	5717	7685	5807	7582	5260
ENSG00000010310_GIPR_MP_94379.6	2478	2284	2798	2025	1576	1373	808	722
ENSG00000010310_GIPR_MP_94380.7	4613	3570	3932	3253	5036	3384	5307	3173
ENSG00000010310_GIPR_MP_94381.8	2897	2784	1956	2577	2905	2577	2401	1765
ENSG00000010310_GIPR_MP_94382.9	3026	2414	4449	2035	3589	922	3399	1050
ENSG00000010310_GIPR_MP_94383.10	2589	1893	1296	1117	2252	1129	1190	1100
ENSG00000011021_CLCN6_MP_52770.1	5458	4520	4162	3483	4311	3605	4379	3663
ENSG00000011021_CLCN6_MP_52771.2	1744	2014	1894	1832	1693	1982	2751	1848
ENSG00000011021_CLCN6_MP_52772.3	1547	1273	1435	751	925	751	497	373
ENSG00000011021_CLCN6_MP_52773.4	4846	3999	4100	2973	4104	3217	2743	4352
ENSG00000011021_CLCN6_MP_52774.5	2316	1864	3045	2602	2964	2512	3519	1808
ENSG00000011021_CLCN6_MP_52775.6	2596	2391	1441	3354	1268	3440	372	3582
ENSG00000011021_CLCN6_MP_52776.7	2338	1744	2205	1836	1594	1817	1392	1755
ENSG00000011021_CLCN6_MP_52777.8	1294	1220	684	1766	755	1253	589	533
ENSG00000011021_CLCN6_MP_52778.9	6454	4952	6523	4686	6461	4522	6387	3232
ENSG00000011021_CLCN6_MP_52779.10	1316	1714	1443	1250	1071	1209	1288	744
ENSG00000011105_TSPAN9_MP_33620.1	1254	897	830	933	378	857	138	557
ENSG00000011105_TSPAN9_MP_33621.2	2620	2220	1947	1636	2666	1677	3787	1777
ENSG00000011105_TSPAN9_MP_33622.3	1314	984	1150	496	1336	509	1209	340
ENSG00000011105_TSPAN9_MP_33623.4	1515	1306	2406	1124	2293	579	1471	501
ENSG00000011105_TSPAN9_MP_33624.5	2670	1923	1704	2096	1338	2335	1116	2641
ENSG00000011105_TSPAN9_MP_33625.6	539	484	216	339	154	260	615	63
ENSG00000011105_TSPAN9_MP_33626.7	3118	3179	2739	3329	2193	3833	2747	3162
ENSG00000011105_TSPAN9_MP_33627.8	2956	2561	1409	5151	1041	6015	774	5421
ENSG00000011105_TSPAN9_MP_33628.9	2497	1851	1005	1185	814	1417	1659	2037
ENSG00000011105_TSPAN9_MP_33629.10	1660	1006	1100	688	1398	680	1358	386
ENSG00000011638_TMEM159_MP_5190.1	1472	1273	596	801	303	581	173	269
ENSG00000011638_TMEM159_MP_5191.2	2584	2542	1723	3032	2255	2968	943	2857
ENSG00000011638_TMEM159_MP_5192.3	1712	1449	2149	1972	3140	1542	3568	2202
ENSG00000011638_TMEM159_MP_5193.4	2475	2526	1473	2368	1150	1794	1157	1106
ENSG00000011638_TMEM159_MP_5194.5	9697	9005	7489	9780	6356	9808	6876	9333
ENSG00000011638_TMEM159_MP_5195.6	6409	5576	5651	6411	5127	7311	4278	8146
ENSG00000011638_TMEM159_MP_5196.7	609	409	554	479	465	318	1484	535
ENSG00000011638_TMEM159_MP_5197.8	2905	3079	1736	2361	1692	2808	1627	2094
ENSG00000011638_TMEM159_MP_5198.9	1396	797	1299	570	1163	434	1792	253
ENSG00000011638_TMEM159_MP_5199.10	1511	1651	2015	1858	1496	1620	1358	4795
ENSG00000012124_CD22_MP_96553.1	1554	1440	1933	1079	2238	738	3953	760
ENSG00000012124_CD22_MP_96554.2	1462	1202	1491	575	417	431	240	341
ENSG00000012124_CD22_MP_96555.3	3742	3092	2998	2011	1836	1028	1342	388
ENSG00000012124_CD22_MP_96556.4	2004	1556	999	2686	1184	2419	1147	3652
ENSG00000012124_CD22_MP_96557.5	145	96	15	60	70	39	52	10
ENSG00000012124_CD22_MP_96558.6	3337	2721	2450	3391	3235	4543	4442	8908
ENSG00000012124_CD22_MP_96559.7	2148	1557	2101	1118	2220	1624	2302	1160
ENSG00000012124_CD22_MP_96560.8	2856	3061	1845	2322	1858	1825	2980	1830
ENSG00000012124_CD22_MP_96561.9	621	675	532	512	225	625	154	592
ENSG00000012124_CD22_MP_96562.10	2209	1694	2522	1703	1642	1300	1797	869
ENSG00000013297_CLDN11_MP_169701.1	5880	5641	4841	6761	5208	7413	5055	10081
ENSG00000013297_CLDN11_MP_169702.2	889	682	824	587	1001	536	591	288
ENSG00000013297_CLDN11_MP_169703.3	2803	2442	1933	2932	2700	3259	3105	3129
ENSG00000013297_CLDN11_MP_169704.4	3776	4011	1420	3553	1396	3443	670	2913
ENSG00000013297_CLDN11_MP_169705.5	6166	5768	6911	9487	3983	7595	5184	7778
ENSG00000013297_CLDN11_MP_169706.6	3862	3136	2941	2971	2821	3108	3942	3631
ENSG00000013297_CLDN11_MP_169707.7	2512	2117	3229	3408	2959	3128	2183	4224
ENSG00000013297_CLDN11_MP_169708.8	1058	852	601	1249	519	1819	597	2687
ENSG00000013297_CLDN11_MP_169709.9	2549	1885	1883	1502	2262	1486	2057	1427
ENSG00000013297_CLDN11_MP_169710.10	3694	3530	2850	4327	2983	3019	4191	2291
ENSG00000016402_IL20RA_MP_60656.1	2302	1752	3704	1796	2760	791	2540	330
ENSG00000016402_IL20RA_MP_60657.2	1855	2299	2920	2776	3080	2423	3768	1679
ENSG00000016402_IL20RA_MP_60658.3	1730	1441	1236	1044	718	387	492	355
ENSG00000016402_IL20RA_MP_60659.4	5141	4209	4010	3319	3775	3460	3363	3240
ENSG00000016402_IL20RA_MP_60660.5	3884	3595	2780	4345	2203	4435	2591	2946
ENSG00000016402_IL20RA_MP_60661.6	1453	1186	2054	1778	2052	1924	2047	2395
ENSG00000016402_IL20RA_MP_60662.7	2424	2063	1635	3192	1238	2438	1135	3257
ENSG00000016402_IL20RA_MP_60663.8	2235	1626	1363	1372	349	1373	143	785
ENSG00000016402_IL20RA_MP_60664.9	1522	1117	1033	718	1157	376	1361	135
ENSG00000016402_IL20RA_MP_60665.10	4497	2783	4129	2763	2726	2582	3767	3137
ENSG00000017483_SLC38A5_MP_116989.1	1859	1318	2218	1095	2215	506	1695	558
ENSG00000017483_SLC38A5_MP_116990.2	2237	1852	1345	2111	1279	1876	732	1909
ENSG00000017483_SLC38A5_MP_116991.3	2079	2309	1207	3340	943	4989	725	4212
ENSG00000017483_SLC38A5_MP_116992.4	2464	1983	1315	1510	801	1981	1065	1362
ENSG00000017483_SLC38A5_MP_116993.5	2148	2013	1600	1439	1524	1371	812	2249
ENSG00000017483_SLC38A5_MP_116994.6	3150	2673	2489	2476	1420	3164	1184	4727
ENSG00000017483_SLC38A5_MP_116995.7	3405	2416	3361	3042	3219	3194	3131	2032
ENSG00000017483_SLC38A5_MP_116996.8	771	655	458	268	1215	176	460	194
ENSG00000017483_SLC38A5_MP_116997.9	1785	1307	1243	863	950	659	915	369
ENSG00000017483_SLC38A5_MP_116998.10	1042	1129	842	693	353	335	453	295
ENSG00000020181_GPR124_MP_72322.1	1473	910	1085	879	839	875	704	572
ENSG00000020181_GPR124_MP_72323.2	6641	5568	5883	5166	4893	5734	4067	4733
ENSG00000020181_GPR124_MP_72324.3	815	484	516	466	107	461	17	264
ENSG00000020181_GPR124_MP_72325.4	4266	3882	3535	5358	4576	6089	4608	7502
ENSG00000020181_GPR124_MP_72326.5	3290	2279	3841	2531	4489	2492	5055	1749
ENSG00000020181_GPR124_MP_72327.6	1765	2078	1491	1203	1611	1235	854	691
ENSG00000020181_GPR124_MP_72328.7	1287	1722	2038	1828	1256	1136	1778	911
ENSG00000020181_GPR124_MP_72329.8	2185	2162	2232	3347	2315	2540	1872	2234
ENSG00000020181_GPR124_MP_72330.9	3674	2999	3221	2733	2590	2964	3001	3986
ENSG00000020181_GPR124_MP_72331.10	2039	2002	1536	1634	1585	1351	746	911
ENSG00000022567_SLC45A4_MP_13524.1	2393	1971	991	1848	1209	2292	1230	2753
ENSG00000022567_SLC45A4_MP_13525.2	2673	2796	2114	2861	1729	3202	1531	2314
ENSG00000022567_SLC45A4_MP_13526.3	4020	3031	3246	2673	2659	1805	2312	1158
ENSG00000022567_SLC45A4_MP_13527.4	2230	1520	2736	1007	3038	781	1784	432
ENSG00000022567_SLC45A4_MP_13528.5	2159	1913	1888	1993	2575	2263	4009	3294
ENSG00000022567_SLC45A4_MP_13529.6	1849	1286	1027	1088	543	481	387	166
ENSG00000022567_SLC45A4_MP_13530.7	2275	1732	1213	2200	654	2976	193	2762
ENSG00000022567_SLC45A4_MP_13531.8	6254	5754	5372	6175	4680	6301	4526	4405
ENSG00000022567_SLC45A4_MP_13532.9	3575	2678	3102	2777	3013	2249	4916	2602
ENSG00000022567_SLC45A4_MP_13533.10	3112	2838	2909	3883	1841	3706	2273	3314
ENSG00000023041_ZDHHC6_MP_96363.1	4173	3464	5498	3629	3583	4325	4077	2187
ENSG00000023041_ZDHHC6_MP_96364.2	1001	898	399	919	186	677	136	452
ENSG00000023041_ZDHHC6_MP_96365.3	4775	3833	3769	3264	2273	3095	2011	3598
ENSG00000023041_ZDHHC6_MP_96366.4	2745	2689	2326	1370	3430	1184	4807	1334
ENSG00000023041_ZDHHC6_MP_96367.5	1042	633	427	851	324	526	390	462
ENSG00000023041_ZDHHC6_MP_96368.6	672	678	309	315	537	311	575	339
ENSG00000023041_ZDHHC6_MP_96369.7	2007	1783	1811	1491	1957	634	2106	445
ENSG00000023041_ZDHHC6_MP_96370.8	2470	2069	2962	2711	2954	4063	3180	2937
ENSG00000023041_ZDHHC6_MP_96371.9	1368	1024	588	954	444	547	231	86
ENSG00000023041_ZDHHC6_MP_96372.10	3806	2693	3311	2456	4966	3131	6476	3434
ENSG00000026652_AGPAT4_MP_62415.1	4704	4368	3691	2669	3119	3807	1771	3054
ENSG00000026652_AGPAT4_MP_62416.2	2788	2372	2428	3114	1631	3586	1493	3677
ENSG00000026652_AGPAT4_MP_62417.3	1577	706	1241	384	1513	240	1392	191
ENSG00000026652_AGPAT4_MP_62418.4	1343	1158	1362	1149	1698	1134	1945	807
ENSG00000026652_AGPAT4_MP_62419.5	4579	4109	5314	5825	6796	5191	7201	4704
ENSG00000026652_AGPAT4_MP_62420.6	1406	1260	1003	1021	942	863	1248	286
ENSG00000026652_AGPAT4_MP_62421.7	3361	2723	3014	2122	2817	1115	1895	1004
ENSG00000026652_AGPAT4_MP_62422.8	1282	1667	2178	1916	3520	1752	7709	989
ENSG00000026652_AGPAT4_MP_62423.9	1919	1570	3451	1277	2392	1609	2275	1214
ENSG00000026652_AGPAT4_MP_62424.10	3623	2947	4120	2412	3837	2856	2948	1788
ENSG00000026751_SLAMF7_MP_166771.1	3690	2912	3525	3348	3544	3315	3712	4181
ENSG00000026751_SLAMF7_MP_166772.2	2405	2709	2737	2784	2500	3725	3885	2856
ENSG00000026751_SLAMF7_MP_166773.3	1631	1740	991	1016	1469	639	1062	838
ENSG00000026751_SLAMF7_MP_166774.4	4015	3988	4485	4193	4435	4406	3111	3939
ENSG00000026751_SLAMF7_MP_166775.5	1359	1189	1937	1542	1372	1263	792	1536
ENSG00000026751_SLAMF7_MP_166776.6	2660	2213	2529	2634	3454	2684	4562	2482
ENSG00000026751_SLAMF7_MP_166777.7	2921	2522	1793	3253	1876	3714	2246	4226
ENSG00000026751_SLAMF7_MP_166778.8	2957	2409	2497	2819	3407	2690	4539	3155
ENSG00000026751_SLAMF7_MP_166779.9	596	494	683	293	521	164	607	150
ENSG00000026751_SLAMF7_MP_166780.10	5549	5410	5370	4957	3982	4604	4868	3387
ENSG00000027847_B4GALT7_MP_43221.1	3973	4030	3564	3265	2795	2992	5903	1266
ENSG00000027847_B4GALT7_MP_43222.2	4432	3161	4122	3520	3168	3237	3120	1923
ENSG00000027847_B4GALT7_MP_43223.3	1960	1892	2080	2292	1161	1557	1598	2041
ENSG00000027847_B4GALT7_MP_43224.4	2218	1793	2011	1848	2586	2381	2217	3612
ENSG00000027847_B4GALT7_MP_43225.5	1757	1547	863	1670	694	3054	576	2022
ENSG00000027847_B4GALT7_MP_43226.6	858	986	602	287	244	470	174	140
ENSG00000027847_B4GALT7_MP_43227.7	735	767	482	546	110	383	72	173
ENSG00000027847_B4GALT7_MP_43228.8	2218	1993	1106	2360	902	2548	262	2042
ENSG00000027847_B4GALT7_MP_43229.9	5081	3826	4708	4313	3732	6218	3475	5834
ENSG00000027847_B4GALT7_MP_43230.10	3645	3871	2477	3183	3839	4499	3029	4051
ENSG00000033867_SLC4A7_MP_95223.1	1285	1336	1401	1310	1696	1261	1285	878
ENSG00000033867_SLC4A7_MP_95224.2	3174	2696	2315	1775	1715	2023	1635	1069
ENSG00000033867_SLC4A7_MP_95225.3	2550	2181	1463	2248	1467	2883	1575	2314
ENSG00000033867_SLC4A7_MP_95226.4	1406	991	733	716	910	457	1537	177
ENSG00000033867_SLC4A7_MP_95227.5	2504	2205	2614	3474	4355	3364	6279	2698
ENSG00000033867_SLC4A7_MP_95228.6	2382	1793	1544	2667	1246	2366	1445	1592
ENSG00000033867_SLC4A7_MP_95229.7	2351	2155	2209	2310	2579	1778	4101	1605
ENSG00000033867_SLC4A7_MP_95230.8	1540	1338	848	1901	621	1960	1007	998
ENSG00000033867_SLC4A7_MP_95231.9	1727	1200	2579	1003	2731	838	2338	858
ENSG00000033867_SLC4A7_MP_95232.10	4487	3806	3015	4674	2889	5533	2401	6050
ENSG00000039523_FAM65A_MP_155674.1	3240	2491	2799	2220	2965	1924	2757	1999
ENSG00000039523_FAM65A_MP_155675.2	1590	972	1263	976	1616	1614	1962	2551
ENSG00000039523_FAM65A_MP_155676.3	2835	2557	1805	1755	1188	2190	1401	1079
ENSG00000039523_FAM65A_MP_155677.4	1736	1585	2442	2082	1274	1467	2786	947
ENSG00000039523_FAM65A_MP_155678.5	2871	2875	2553	1777	2920	2311	3381	1398
ENSG00000039523_FAM65A_MP_155679.6	3066	2858	2116	2203	2278	2773	1693	1441
ENSG00000039523_FAM65A_MP_155680.7	4486	3846	4129	3227	5022	2304	8040	1445
ENSG00000039523_FAM65A_MP_155681.8	1030	1134	598	535	1052	503	1186	614
ENSG00000039523_FAM65A_MP_155682.9	2230	1666	2840	2072	3554	2896	4894	3412
ENSG00000039523_FAM65A_MP_155683.10	1231	846	1019	572	971	549	1081	156
ENSG00000039987_BEST2_MP_18120.1	5553	4803	3341	5782	3316	5311	3818	4811
ENSG00000039987_BEST2_MP_18121.2	1858	1802	1555	1988	1004	1766	303	2423
ENSG00000039987_BEST2_MP_18122.3	3819	3195	2941	3380	4545	3363	3441	3155
ENSG00000039987_BEST2_MP_18123.4	3114	2221	1375	2794	1351	3848	1134	6143
ENSG00000039987_BEST2_MP_18124.5	2995	3495	2658	3254	2559	2743	2163	2646
ENSG00000039987_BEST2_MP_18125.6	1803	1330	1310	887	642	799	800	1284
ENSG00000039987_BEST2_MP_18126.7	940	815	776	654	527	546	211	837
ENSG00000039987_BEST2_MP_18127.8	1408	1272	852	958	704	583	1155	375
ENSG00000039987_BEST2_MP_18128.9	2296	1952	2308	1973	1501	1887	890	2630
ENSG00000039987_BEST2_MP_18129.10	3538	3100	2867	2773	3342	4105	4277	2907
ENSG00000046604_DSG2_MP_18140.1	4940	4191	6128	4651	7671	3881	9879	3463
ENSG00000046604_DSG2_MP_18141.2	2600	1929	2779	1589	1854	1460	1578	627
ENSG00000046604_DSG2_MP_18142.3	398	487	79	715	148	1082	17	425
ENSG00000046604_DSG2_MP_18143.4	3293	2360	3759	1952	2950	1791	2144	934
ENSG00000046604_DSG2_MP_18144.5	7552	5652	5916	4255	3973	3411	2956	2291
ENSG00000046604_DSG2_MP_18145.6	208	108	137	58	39	102	64	78
ENSG00000046604_DSG2_MP_18146.7	809	488	301	411	704	149	515	89
ENSG00000046604_DSG2_MP_18147.8	2128	1501	925	1020	248	454	145	245
ENSG00000046604_DSG2_MP_18148.9	266	188	300	168	32	66	80	44
ENSG00000046604_DSG2_MP_18149.10	1656	1588	1303	1267	2720	1120	2737	1465
ENSG00000047597_XK_MP_60906.1	1663	1153	1209	1570	969	1288	751	1747
ENSG00000047597_XK_MP_60907.2	1357	932	522	915	230	585	180	299
ENSG00000047597_XK_MP_60908.3	2548	2447	1988	2737	1986	2750	1842	1643
ENSG00000047597_XK_MP_60909.4	2930	2426	1873	3264	2260	1877	1437	1406
ENSG00000047597_XK_MP_60910.5	2169	1605	1844	1533	1535	964	1011	939
ENSG00000047597_XK_MP_60911.6	3211	3073	3466	3643	3652	3289	3788	3405
ENSG00000047597_XK_MP_60912.7	1300	1079	1005	915	827	832	270	487
ENSG00000047597_XK_MP_60913.8	1231	1011	573	488	402	585	525	460
ENSG00000047597_XK_MP_60914.9	3572	3175	3422	3087	3531	3087	5492	2795
ENSG00000047597_XK_MP_60915.10	4693	4000	3818	3208	3386	3430	2974	4094
ENSG00000048471_SNX29_MP_1179.1	2740	2156	3195	1171	3006	919	3806	1317
ENSG00000048471_SNX29_MP_1180.2	519	346	724	489	714	191	402	27
ENSG00000048471_SNX29_MP_1181.3	2784	2542	3149	2608	4684	3263	9806	2556
ENSG00000048471_SNX29_MP_1182.4	1055	878	1352	1193	1622	1257	1722	1380
ENSG00000048471_SNX29_MP_1183.5	1713	1040	1945	1132	2995	1556	3129	1938
ENSG00000048471_SNX29_MP_1184.6	1134	942	743	1132	794	1280	672	1183
ENSG00000048471_SNX29_MP_1185.7	843	656	646	1124	493	1677	426	1167
ENSG00000048471_SNX29_MP_1186.8	4180	3155	4948	4226	7445	6348	11117	10135
ENSG00000048471_SNX29_MP_1187.9	2679	2148	821	2534	505	2504	220	2086
ENSG00000048471_SNX29_MP_1188.10	927	564	1204	748	629	605	212	936
ENSG00000049656_CLPTM1L_MP_16910.1	4775	3742	4338	4871	3153	5444	3802	7378
ENSG00000049656_CLPTM1L_MP_16911.2	2846	2924	4369	3925	4315	4702	5723	2887
ENSG00000049656_CLPTM1L_MP_16912.3	593	573	900	548	469	1426	225	448
