	t0	t0	t1	t1	t2	t2	t3	t3
	Rep1	Rep2	Rep1	Rep2	Rep1	Rep2	Rep1	Rep2
sgId								
0Safe_safe_MP_204550.1080	1349	1176	546	1291	823	1302	2760	690
0Safe_safe_MP_204550.1081	368	469	308	1139	419	198	250	147
0Safe_safe_MP_204550.1082	2663	2777	2203	1982	1498	1648	2341	1117
0Safe_safe_MP_204550.1083	3933	3587	3805	2999	5196	2441	5462	3454
0Safe_safe_MP_204550.1084	3570	2777	3504	3329	3286	3925	3030	3462
0Safe_safe_MP_204550.1085	6311	5275	8476	5199	8397	7606	6720	5362
0Safe_safe_MP_204550.1086	1078	1279	764	718	2334	1127	3842	804
0Safe_safe_MP_204550.1087	2264	2083	1037	1732	1810	2409	1874	1764
0Safe_safe_MP_204550.1088	2041	1471	2196	1368	966	515	565	297
0Safe_safe_MP_204550.1089	1160	768	1191	1247	1020	1452	866	1852
0Safe_safe_MP_204550.1090	4013	3311	3124	3370	3161	2298	3544	2231
0Safe_safe_MP_204550.1091	3095	3694	2611	2351	2101	2041	1045	1805
0Safe_safe_MP_204550.1092	5306	4007	4662	4179	5557	3270	7505	2160
0Safe_safe_MP_204550.1093	2450	1998	2446	1849	3224	892	3865	1648
0Safe_safe_MP_204550.1094	3407	2482	2390	1579	1992	1177	1625	756
0Safe_safe_MP_204550.1095	3879	2506	2833	2581	2621	3533	1803	2002
0Safe_safe_MP_204550.1096	4400	3912	3612	3834	5088	2685	7499	1205
0Safe_safe_MP_204550.1097	1420	926	392	726	136	1260	144	523
0Safe_safe_MP_204550.1098	2367	2633	3099	3521	2332	3702	2508	3114
0Safe_safe_MP_204550.1099	7099	5851	5462	5587	4450	4484	3333	3552
0Safe_safe_MP_204550.1100	5085	4014	4144	4348	4697	3957	4273	5249
0Safe_safe_MP_204550.1101	4211	4222	2858	3050	2529	2821	2617	1477
0Safe_safe_MP_204550.1102	2229	1413	1073	1741	715	1317	210	1073
0Safe_safe_MP_204550.1103	1635	1241	1626	1190	973	1253	769	506
0Safe_safe_MP_204550.1104	702	663	874	363	844	472	760	608
0Safe_safe_MP_204550.1105	1700	1072	1573	1233	765	441	650	228
0Safe_safe_MP_204550.1106	2953	2735	1966	2696	1909	2319	4869	2350
0Safe_safe_MP_204550.1107	3694	3155	3229	3477	2889	4195	5994	4300
0Safe_safe_MP_204550.1108	2646	2110	2314	1919	2485	1731	2346	1446
0Safe_safe_MP_204550.1109	4466	3611	2780	5062	3151	4200	1860	3623
0Safe_safe_MP_204550.1110	1800	1733	1363	2777	475	4074	510	3189
0Safe_safe_MP_204550.1111	4523	3473	5960	3113	3924	2422	5099	2365
0Safe_safe_MP_204550.1112	2606	2365	2675	2116	3761	1916	4420	1796
0Safe_safe_MP_204550.1113	3599	2999	2418	2593	1971	3333	2288	3334
0Safe_safe_MP_204550.1114	3808	3320	2883	3109	2350	3072	4568	1932
0Safe_safe_MP_204550.1115	2305	1607	1058	1431	362	1815	409	1314
0Safe_safe_MP_204550.1116	2346	2003	2067	2042	1853	1324	1499	997
0Safe_safe_MP_204550.1117	5098	4999	4862	4239	4916	3458	7813	3345
0Safe_safe_MP_204550.1118	3561	3081	2666	2761	4159	1428	4097	1342
0Safe_safe_MP_204550.1119	3923	3494	6290	3680	6817	4186	6409	4643
0Safe_safe_MP_204550.1120	3683	2735	3067	2378	3072	2268	2435	1719
0Safe_safe_MP_204550.1121	4395	3267	3480	3620	2885	3597	2546	3881
0Safe_safe_MP_204550.1122	14147	12152	14215	12179	17004	12751	23194	11319
0Safe_safe_MP_204550.1123	4384	4080	4551	2814	5251	3053	7052	6715
0Safe_safe_MP_204550.1124	3961	3590	3587	4078	2895	4480	2614	2609
0Safe_safe_MP_204550.1125	3246	2671	2743	2461	2752	1960	3240	1269
0Safe_safe_MP_204550.1126	3081	2393	2336	2226	2266	2303	2360	1297
0Safe_safe_MP_204550.1127	3674	2764	2894	2994	3454	2385	2636	1949
0Safe_safe_MP_204550.1128	2815	2881	2451	2526	1236	1993	1824	1112
0Safe_safe_MP_204550.1129	1362	1131	956	1736	337	2070	69	3117
0Safe_safe_MP_204550.1130	1279	873	682	1311	945	1454	1363	561
0Safe_safe_MP_204550.1131	2251	2235	1272	2135	728	2144	307	2410
0Safe_safe_MP_204550.1132	1288	851	864	1235	976	1345	2158	1395
0Safe_safe_MP_204550.1133	2227	1697	2619	1234	2393	1461	3034	151
0Safe_safe_MP_204550.1134	3747	3761	4046	4041	4651	4459	8202	3733
0Safe_safe_MP_204550.1135	2311	1869	3103	1853	3245	2847	3630	2537
0Safe_safe_MP_204550.1136	5685	5187	5654	6773	5765	4464	5171	3537
0Safe_safe_MP_204550.1137	88	78	4	122	5	190	0	81
0Safe_safe_MP_204550.1138	5399	4225	5327	4107	5574	3732	9190	2426
0Safe_safe_MP_204550.1139	2758	3061	5389	2229	4208	2215	3872	1051
0Safe_safe_MP_204550.1140	840	705	843	655	599	725	551	129
0Safe_safe_MP_204550.1141	2203	2232	1842	2509	2364	2121	2542	1615
0Safe_safe_MP_204550.1142	5182	4108	2998	4368	3353	4247	3061	2042
0Safe_safe_MP_204550.1143	3527	3750	2599	3122	2444	2655	2975	2740
0Safe_safe_MP_204550.1144	4775	3424	3813	2828	3251	2817	2500	1516
0Safe_safe_MP_204550.1145	1622	1275	985	1233	1074	1009	574	1032
0Safe_safe_MP_204550.1146	2779	2175	2496	1312	1700	834	2087	1367
0Safe_safe_MP_204550.1147	2794	2177	3612	1027	3451	1506	4647	1850
0Safe_safe_MP_204550.1148	2104	1989	1958	2952	1562	2180	1001	2839
0Safe_safe_MP_204550.1149	3859	2749	4166	1749	2980	1553	2500	1391
0Safe_safe_MP_204550.1150	488	266	808	284	1002	121	470	3
0Safe_safe_MP_204550.1151	3873	3227	2697	4180	2359	4720	2572	5315
0Safe_safe_MP_204550.1152	1490	1609	3181	1176	2370	1053	1939	822
0Safe_safe_MP_204550.1153	5172	4705	5918	4547	7558	3691	10662	3389
0Safe_safe_MP_204550.1154	2440	2236	2139	2309	1252	2330	917	2216
0Safe_safe_MP_204550.1155	3138	2566	1854	3666	1834	4780	1254	3372
