	gamma_10	gamma_10	gamma_10	gamma_10	gamma_10	gamma_10	gamma_10	gamma_10	gamma_10	gamma_10	gamma_10	gamma_10	gamma_10	gamma_10	gamma_10	gamma_10	gamma_10	gamma_20	gamma_20	gamma_20	gamma_20	gamma_20	gamma_20	gamma_20	gamma_20	gamma_20	gamma_20	gamma_20	gamma_20	gamma_20	gamma_20	gamma_20	gamma_20	gamma_20	gamma_30	gamma_30	gamma_30	gamma_30	gamma_30	gamma_30	gamma_30	gamma_30	gamma_30	gamma_30	gamma_30	gamma_30	gamma_30	gamma_30	gamma_30	gamma_30	gamma_30
	Rep1	Rep1	Rep1	Rep1	Rep1	Rep2	Rep2	Rep2	Rep2	Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	Rep1	Rep1	Rep1	Rep1	Rep1	Rep2	Rep2	Rep2	Rep2	Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	Rep1	Rep1	Rep1	Rep1	Rep1	Rep2	Rep2	Rep2	Rep2	Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2
	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	mageck_lfc	mwp_mageck_pvalue	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	mageck_lfc	mwp_mageck_pvalue	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	mageck_lfc	mwp_mageck_pvalue	sgRNA count_MW	sgRNA count_avg
gene																																																			
IGSF9	ENSG00000085552	0.6003322947028809	0.01238368639902196	10.0	10.0	ENSG00000085552	0.49360894856403625	-0.09719546798800398	10.0	10.0	ENSG00000085552	0.7649148190646495	0.04709056287265876	0.24208666666666667	0.7757017728057859	10.0	10.0	ENSG00000085552	0.6581667620371274	0.03751448793547473	10.0	10.0	ENSG00000085552	0.5085479540531219	-0.023032006752249076	10.0	10.0	ENSG00000085552	0.6304695482263913	0.03934595639441013	0.5642766666666666	0.5334327088203793	10.0	10.0	ENSG00000085552	0.5953687066169999	-0.11362482104742783	10.0	10.0	ENSG00000085552	0.5507328376083809	-0.0380381014584427	10.0	10.0	ENSG00000085552	0.8451355005804227	-0.022582705627927774	0.6191033333333334	0.12518377986018547	10.0	10.0
IL13RA1	ENSG00000131724	0.14138649843572063	0.020237929311231487	10.0	10.0	ENSG00000131724	0.03328887947864639	0.15507584405911132	10.0	10.0	ENSG00000131724	0.025852465346633637	0.06648381581560102	0.5329166666666666	0.30222477042304263	10.0	10.0	ENSG00000131724	0.43454737836476554	0.16093984144667206	10.0	10.0	ENSG00000131724	0.0028713206980851376	0.14159618909547267	10.0	10.0	ENSG00000131724	0.01964113647749109	0.14312556804275336	0.81745	0.40075458322070345	10.0	10.0	ENSG00000131724	0.4656492401666821	0.15054572074868033	10.0	10.0	ENSG00000131724	0.1316892883212865	0.09742058495707966	10.0	10.0	ENSG00000131724	0.18940456185642762	0.11734448819411519	1.2700666666666667	0.8852834078626618	10.0	10.0
IL17RA	ENSG00000177663	0.04336091677216884	-0.04190937388955957	10.0	10.0	ENSG00000177663	0.07141949112865627	-0.3666309175193239	10.0	10.0	ENSG00000177663	0.04402201421387093	-0.2759250503663861	-0.5408000000000001	0.43575920469158314	10.0	10.0	ENSG00000177663	0.14006405787485848	-0.30966854417775774	10.0	10.0	ENSG00000177663	0.6658420706573649	0.021183185333748595	9.0	9.0	ENSG00000177663	0.5265296476982353	-0.06323809986245044	-0.27434000000000003	0.6810177763615269	9.0	9.0	ENSG00000177663	0.2841108182043628	-0.17849998751968618	9.0	9.0	ENSG00000177663	0.27784413602071467	-0.14268986487918	10.0	10.0	ENSG00000177663	0.2934720620835153	-0.136366639375083	-1.0159500000000001	0.5497568419589957	9.0	9.0
IL17RB	ENSG00000056736	0.9211998273185152	0.14706783952578872	10.0	10.0	ENSG00000056736	0.030143187573151143	-0.3974415213917986	10.0	10.0	ENSG00000056736	0.16205853613868682	-0.20395381937803628	0.17679	0.8351705339806677	10.0	10.0	ENSG00000056736	0.7407071423435967	0.04026191499049234	10.0	10.0	ENSG00000056736	0.20248358928986743	-0.3070555282923279	10.0	10.0	ENSG00000056736	0.4318320612091481	-0.17615339351004722	0.15815333333333334	0.9162766872496255	10.0	10.0	ENSG00000056736	0.47475579517641764	0.005474352587946017	10.0	10.0	ENSG00000056736	0.06929789763679028	-0.2599286590578012	10.0	10.0	ENSG00000056736	0.18890409305416933	-0.1280538696920613	0.020710000000000024	0.057024430490450355	10.0	10.0
IL17RC	ENSG00000163702	0.9935688412412313	-0.02198793459961329	10.0	10.0	ENSG00000163702	0.7274445682312836	0.03096486646838964	10.0	10.0	ENSG00000163702	0.9431842065177278	0.05593984234155381	0.4303966666666667	0.8898651118579799	10.0	10.0	ENSG00000163702	0.9327541657750098	-0.08902671381923725	10.0	10.0	ENSG00000163702	0.4484784425029086	0.04862591215709247	10.0	10.0	ENSG00000163702	0.4937253511033789	-0.061516999539054096	0.6134700000000001	0.05683553245926141	10.0	10.0	ENSG00000163702	0.37211036773710093	-0.1305402892510408	10.0	10.0	ENSG00000163702	0.27010007347793374	0.11679294217565056	10.0	10.0	ENSG00000163702	0.7943346224258792	-0.06364572971968722	0.8731633333333333	0.12026224897643721	10.0	10.0
IL17RE	ENSG00000163701	0.8586755040028999	-0.07769973073609755	10.0	10.0	ENSG00000163701	0.6193706833258159	-0.08125670187276161	10.0	10.0	ENSG00000163701	0.5231638736098396	-0.041708486945011634	0.11880333333333332	0.6286877888726494	10.0	10.0	ENSG00000163701	0.7418159060771417	-0.09645383597340358	10.0	10.0	ENSG00000163701	0.7990258649908693	-0.11808326962551347	10.0	10.0	ENSG00000163701	0.9524162202585351	-0.036907360059237705	0.55483	0.7657224221682671	10.0	10.0	ENSG00000163701	0.30987647223543446	0.06632462475385933	10.0	10.0	ENSG00000163701	0.9173793514029837	-0.13350263568000006	10.0	10.0	ENSG00000163701	0.6119717728325278	0.0037012396467367334	0.9457066666666667	0.9162766872496255	10.0	10.0
IL17REL	ENSG00000188263	0.9526705633178664	-0.04174085256561902	10.0	10.0	ENSG00000188263	0.24483802279146316	0.19439299897681617	10.0	10.0	ENSG00000188263	0.2804491202642835	0.09922105745262111	0.43544	0.22906376537862227	10.0	10.0	ENSG00000188263	0.8126581537196281	-0.021842600673526644	10.0	10.0	ENSG00000188263	0.06584345500313306	0.14929088293497994	10.0	10.0	ENSG00000188263	0.33932399090050624	0.032275590718135336	0.5248333333333334	0.954326170407452	10.0	10.0	ENSG00000188263	0.17725190565786686	0.040906132078611865	9.0	9.0	ENSG00000188263	0.20704023617518375	0.049510631918216225	10.0	10.0	ENSG00000188263	0.08050583552182695	0.09459821301958767	1.0382900000000002	0.22020844348686341	9.0	9.0
IL18R1	ENSG00000115604	0.18939483651950106	0.1683300159423385	10.0	10.0	ENSG00000115604	0.9982436803042252	0.031313212396701415	10.0	10.0	ENSG00000115604	0.1467570801620089	0.07537529067818716	0.6467566666666666	0.35907751747419847	10.0	10.0	ENSG00000115604	0.654984753996006	0.05972898706713196	10.0	10.0	ENSG00000115604	0.9117790340648543	0.05386141718007709	10.0	10.0	ENSG00000115604	0.31674109877956347	-0.006902813817443232	0.8341200000000001	0.25592554834057846	10.0	10.0	ENSG00000115604	0.7811985502401111	0.05547506999126636	10.0	10.0	ENSG00000115604	0.49337687882075376	-0.0909405736454582	10.0	10.0	ENSG00000115604	0.36058133429413464	-0.007243311189650131	1.0345700000000002	0.2626608713876031	10.0	10.0
IL18RAP	ENSG00000115607	0.006659531126280191	-0.22692327157709027	10.0	10.0	ENSG00000115607	0.8069708744404833	0.016366422233102307	10.0	10.0	ENSG00000115607	0.10744536741208678	-0.10815686824406255	-0.03148666666666666	0.35680286335726985	10.0	10.0	ENSG00000115607	0.024331741746948486	-0.23116022512243853	10.0	10.0	ENSG00000115607	0.7011664331171752	-0.06208978064820659	10.0	10.0	ENSG00000115607	0.09173616960673668	-0.16496586359315965	-0.011373333333333346	0.7712618235499131	10.0	10.0	ENSG00000115607	0.040997607423811866	-0.18258326535142141	10.0	10.0	ENSG00000115607	0.7657311617368422	0.026909356772232818	10.0	10.0	ENSG00000115607	0.1306904013556511	-0.11999958602339851	0.024840000000000046	0.546858312737261	10.0	10.0
IL1RAP	ENSG00000196083	0.708077084155163	-0.038483157330872875	10.0	10.0	ENSG00000196083	0.011101849006605791	-0.1685550622397659	10.0	10.0	ENSG00000196083	0.08951731194302309	-0.13239093911969613	-0.14510666666666663	0.5851177859137524	10.0	10.0	ENSG00000196083	0.10102378993874413	-0.21888027097684803	10.0	10.0	ENSG00000196083	0.2984743948379369	-0.08025092938846987	10.0	10.0	ENSG00000196083	0.08327620459711658	-0.14903004833429315	-0.3373633333333333	0.26204355890887454	10.0	10.0	ENSG00000196083	0.24099363735294044	-0.1654808121417322	10.0	10.0	ENSG00000196083	0.9982389619484618	0.023024234684818345	10.0	10.0	ENSG00000196083	0.3582451352259096	-0.09105490285752284	0.12235666666666663	0.4122307243344857	10.0	10.0
IL1RL1	ENSG00000115602	0.9468356024183184	-0.15450344539534122	10.0	10.0	ENSG00000115602	0.7719481517164496	-0.01659944629794315	10.0	10.0	ENSG00000115602	0.7953590987520682	-0.06303603428710901	0.3344566666666667	0.4814486851733183	10.0	10.0	ENSG00000115602	0.22072098845589472	-0.3076042663793736	10.0	10.0	ENSG00000115602	0.7899713091491146	0.0344143275728365	10.0	10.0	ENSG00000115602	0.19451722197156984	-0.1461940670067101	0.1410566666666667	0.5145466600336959	10.0	10.0	ENSG00000115602	0.15710013127511485	-0.24526923169233658	9.0	9.0	ENSG00000115602	0.2261844873354678	-0.06102970687449014	10.0	10.0	ENSG00000115602	0.062363654686066486	-0.12114552119084694	-1.1056633333333334	0.4796445044415787	9.0	9.0
IL20RA	ENSG00000016402	0.9596758394241944	0.2419734743606904	10.0	10.0	ENSG00000016402	0.9222598409120493	0.05686346152721627	10.0	10.0	ENSG00000016402	0.8021688363426756	0.07059410683964813	0.65142	0.08301151774706948	10.0	10.0	ENSG00000016402	0.4476003887381149	-0.14365272160590867	10.0	10.0	ENSG00000016402	0.5189543613135288	-0.26727340190223486	10.0	10.0	ENSG00000016402	0.18555202120666847	-0.11477690427316556	0.11826999999999994	0.84650879343975	10.0	10.0	ENSG00000016402	0.6015422105349303	-0.1469963882910681	10.0	10.0	ENSG00000016402	0.4534411794093838	-0.23306341805928718	10.0	10.0	ENSG00000016402	0.32216784073811333	-0.18733308625088332	0.1471266666666667	0.8955974009167881	10.0	10.0
IL20RB	ENSG00000174564	0.9270199192483406	-0.18966631080733606	10.0	10.0	ENSG00000174564	0.45376725439693166	-0.11442150927600665	10.0	10.0	ENSG00000174564	0.7817867763718943	-0.15115070689607157	-0.0423733333333333	0.9520162941756947	10.0	10.0	ENSG00000174564	0.3750291055387287	-0.20836485068981384	10.0	10.0	ENSG00000174564	0.3671804903602651	-0.14030475484544916	10.0	10.0	ENSG00000174564	0.23182673357768002	-0.1739012377446735	-0.27386666666666665	0.22850298926165902	10.0	10.0	ENSG00000174564	0.9110433841175251	-0.1687433483340506	9.0	9.0	ENSG00000174564	0.7151762741957979	-0.1591466401121028	10.0	10.0	ENSG00000174564	0.9606371796023032	-0.08398801156125825	-0.6450800000000001	0.9531711831194467	9.0	9.0
IL27RA	ENSG00000104998	0.7168172508743584	0.2188234972405383	10.0	10.0	ENSG00000104998	0.2594215242805872	-0.11506281747347817	10.0	10.0	ENSG00000104998	0.6920926655955426	0.04454518722745563	0.5144	0.8238664308384408	10.0	10.0	ENSG00000104998	0.4149659045530957	0.09297923046839081	10.0	10.0	ENSG00000104998	0.18054568624627576	-0.22860242252367993	10.0	10.0	ENSG00000104998	0.49093914342526723	0.03897553172845626	0.7597866666666667	0.9093765907471414	10.0	10.0	ENSG00000104998	0.1931262688305766	0.1065412732379755	10.0	10.0	ENSG00000104998	0.45699462206629116	-0.06787568074003085	10.0	10.0	ENSG00000104998	0.7681084405891072	0.02476362835431335	0.9444266666666666	0.6735910308228579	10.0	10.0
IL4R	ENSG00000077238	0.20517660702903395	-0.22853523845317172	10.0	10.0	ENSG00000077238	0.038052855453303884	0.13044046073890905	10.0	10.0	ENSG00000077238	0.8744836941711068	-0.08966662152271793	0.33359333333333335	0.7099489072728085	10.0	10.0	ENSG00000077238	0.02053538300284362	-0.21972778052488504	10.0	10.0	ENSG00000077238	0.36562313857761286	0.15384582024182844	10.0	10.0	ENSG00000077238	0.22556064621429062	-0.13902778636855478	0.07967000000000002	0.7229456793447868	10.0	10.0	ENSG00000077238	0.21909120717383956	-0.13376537964351642	9.0	9.0	ENSG00000077238	0.9642042135041826	-0.048159334960320016	10.0	10.0	ENSG00000077238	0.28491791414479695	-0.08242220251774025	0.21156	0.17913473592956575	9.0	9.0
ILDR2	ENSG00000143195	0.6820903690616074	0.05519511209092473	10.0	10.0	ENSG00000143195	0.4608734223507077	-0.08365683058021278	10.0	10.0	ENSG00000143195	0.7348295548040175	-0.009877164009366104	0.15195999999999998	0.04770651173270679	10.0	10.0	ENSG00000143195	0.8412371974379458	-0.07352194155592094	10.0	10.0	ENSG00000143195	0.5076073716418597	0.028352610970282705	10.0	10.0	ENSG00000143195	0.6336143266944203	0.027785266965998465	0.45882333333333336	0.7823754224443618	10.0	10.0	ENSG00000143195	0.9568792994135619	0.027519563907844075	10.0	10.0	ENSG00000143195	0.9022148836238914	-0.05922611682781998	10.0	10.0	ENSG00000143195	0.8954137454298828	-0.0326694556080331	0.10793333333333333	0.26888923844875656	10.0	10.0
ILVBL	ENSG00000105135	0.4804077142124613	0.12207041067391518	10.0	10.0	ENSG00000105135	0.5076073686354661	-0.061529895559694264	10.0	10.0	ENSG00000105135	0.7337227404332451	-0.002311256982485873	0.3196	0.17633566889255659	10.0	10.0	ENSG00000105135	0.38860756084369763	0.04582594848500384	10.0	10.0	ENSG00000105135	0.6423197470983633	0.028291957662466023	10.0	10.0	ENSG00000105135	0.43010775367081144	0.05197542142706118	0.6324433333333332	0.15595036545700833	10.0	10.0	ENSG00000105135	0.15955678354282465	0.07052654740911919	10.0	10.0	ENSG00000105135	0.46684680858239436	-0.04127513307296032	10.0	10.0	ENSG00000105135	0.4799995805879066	0.030146545970186445	0.9915833333333333	0.5015362853164419	10.0	10.0
IMPAD1	ENSG00000104331	0.4386196167653932	0.08335176796204673	10.0	10.0	ENSG00000104331	0.36174782836027675	-0.04111516749999424	10.0	10.0	ENSG00000104331	0.7259906454408804	-0.023849295729156384	0.35769999999999996	0.3659560081929992	10.0	10.0	ENSG00000104331	0.3837813464536761	0.07888190440323532	10.0	10.0	ENSG00000104331	0.2631595290297004	-0.01627759832074276	10.0	10.0	ENSG00000104331	0.9172686202413604	0.015051507748809466	0.4661666666666667	0.11616551388649406	10.0	10.0	ENSG00000104331	0.4530647217923677	0.0035309865399414803	10.0	10.0	ENSG00000104331	0.15286396188892146	-0.11935267210075158	10.0	10.0	ENSG00000104331	0.5851477045557539	-0.0351672406034196	0.4652933333333333	0.06273379139445863	10.0	10.0
IMPG2	ENSG00000081148	0.4274411189742835	-0.11259454321616968	10.0	10.0	ENSG00000081148	0.3495206980644536	0.0701234079332531	10.0	10.0	ENSG00000081148	0.14594056371216374	-0.013894814557782789	0.06468666666666667	0.022686497828152324	10.0	10.0	ENSG00000081148	0.3046544449100441	-0.1696758491242594	10.0	10.0	ENSG00000081148	0.8126581537196281	0.09163407953186507	10.0	10.0	ENSG00000081148	0.5011964283507264	-0.08889784025853424	0.7334766666666667	0.14847927039487424	10.0	10.0	ENSG00000081148	0.6931789058201725	-0.1253177593431472	9.0	9.0	ENSG00000081148	0.638269357713908	0.07395830894422385	10.0	10.0	ENSG00000081148	0.39012733721118287	-0.09035541168249069	1.0806966666666666	0.18483175979432154	9.0	9.0
INO80C	ENSG00000153391	0.9660921335380287	0.05431478724400222	9.0	9.0	ENSG00000153391	0.7781611986507788	0.05562714116313997	9.0	9.0	ENSG00000153391	0.5773814429736296	0.01484879417967958	0.09956333333333332	0.6959637813546742	9.0	9.0	ENSG00000153391	0.0771125420717564	-0.031245335928114053	9.0	9.0	ENSG00000153391	0.3801314949552884	-0.16075640199304922	9.0	9.0	ENSG00000153391	0.09432086405245839	-0.05164441783410395	-0.04258666666666666	0.9151262187695276	9.0	9.0	ENSG00000153391	0.05490884069515078	-0.08106106145936058	9.0	9.0	ENSG00000153391	0.11698095266604691	-0.1271257750012852	9.0	9.0	ENSG00000153391	0.07244217348383422	-0.19071924344577731	0.2614266666666667	0.41720812741593216	9.0	9.0
INTS5	ENSG00000185085	0.0007541094901827942	-0.4477026082058286	9.0	9.0	ENSG00000185085	1.66058891930986e-05	-0.3473136327339683	9.0	9.0	ENSG00000185085	1.6008232919880174e-05	-0.39465194769612966	-0.9829633333333333	0.02200548376221189	9.0	9.0	ENSG00000185085	0.0025025696055213636	-0.3492002242694549	9.0	9.0	ENSG00000185085	0.00014923905505831312	-0.39272332698176143	9.0	9.0	ENSG00000185085	9.991766782828693e-05	-0.3709617756256081	-1.5463233333333335	0.03765658017630582	9.0	9.0	ENSG00000185085	0.013117856334051886	-0.2061000093240416	9.0	9.0	ENSG00000185085	0.0003552525033057515	-0.3264436098347337	9.0	9.0	ENSG00000185085	0.0003835686600698723	-0.26437116242135456	-2.0834333333333332	0.8058565593124043	9.0	9.0
IRGQ	ENSG00000167378	0.3124031303961712	-0.18843008901614952	9.0	9.0	ENSG00000167378	0.35543906115677426	-0.10799550945965142	9.0	9.0	ENSG00000167378	0.21757578098222796	-0.12459017927745412	-0.0018899999999999935	0.9381661777588676	9.0	9.0	ENSG00000167378	0.16452709662375342	-0.12668036333314722	9.0	9.0	ENSG00000167378	0.28410631576986056	-0.00795007606161612	9.0	9.0	ENSG00000167378	0.09742019351435278	-0.031056262480949354	-0.06001333333333329	0.396702927344155	9.0	9.0	ENSG00000167378	0.591449228199517	-0.07357794253851234	9.0	9.0	ENSG00000167378	0.6888402804590308	-0.0387746757607498	9.0	9.0	ENSG00000167378	0.44591365116400616	-0.03506350365341265	-0.09230333333333333	0.10116667569045158	9.0	9.0
ITFG1	ENSG00000129636	0.08436426489984798	-0.14244379156813244	9.0	9.0	ENSG00000129636	0.13525024315655904	-0.25434989404531233	9.0	9.0	ENSG00000129636	0.043023282004325945	-0.19832973085381836	-0.5767966666666667	0.23131666367028314	9.0	9.0	ENSG00000129636	0.0037969560947052534	-0.22840528960134202	9.0	9.0	ENSG00000129636	0.023539440842074138	-0.32110416809822273	9.0	9.0	ENSG00000129636	0.0007512604090399133	-0.22936890525301182	-0.84138	0.32663010599375497	9.0	9.0	ENSG00000129636	0.004359859907164032	-0.21538070597658132	9.0	9.0	ENSG00000129636	0.07204586832551944	-0.21851994292392643	9.0	9.0	ENSG00000129636	0.003969812174995189	-0.21010093734583088	-1.1537133333333334	0.3230673276509377	9.0	9.0
ITFG3	ENSG00000167930	0.2844036222399805	-0.10445778730876187	9.0	9.0	ENSG00000167930	0.5943974604476906	-0.05968058402252755	9.0	9.0	ENSG00000167930	0.258833691254603	-0.13477949483961202	-0.14786333333333332	0.7612994951564293	9.0	9.0	ENSG00000167930	0.24376670327577632	-0.09361174189798853	8.0	8.0	ENSG00000269881	0.5945729766292609	-0.047653022057277304	1.0	1.0	ENSG00000167930	0.2533328947528237	-0.06912219848389588	-1.8853	0.23188233930252122	8.0	8.0	ENSG00000167930	0.11418095367519122	-0.08887081631864023	8.0	8.0	ENSG00000167930	0.5235431188968358	-0.004634432908237516	9.0	9.0	ENSG00000269881	0.3107204620951667	0.047361982525386495	0.3805533333333333	0.5831258461961866	1.0	1.0
ITGA10	ENSG00000143127	0.5367626468738459	0.11134255406157822	10.0	10.0	ENSG00000143127	0.030933167228758295	-0.19511404558198306	10.0	10.0	ENSG00000143127	0.40765065629135444	-0.03054228744013998	0.23748	0.5507246981797813	10.0	10.0	ENSG00000143127	0.8012937847572327	0.1198167559958649	10.0	10.0	ENSG00000143127	0.008308594205928208	-0.10873199409808092	10.0	10.0	ENSG00000143127	0.2261252430657149	-0.05584941861832044	0.41909	0.5220591590792565	10.0	10.0	ENSG00000143127	0.7116786205341803	-0.0013137930678099967	10.0	10.0	ENSG00000143127	0.001120155192347316	-0.18547496921960896	10.0	10.0	ENSG00000143127	0.09663125062311681	-0.12078297137202561	0.022840000000000044	0.9277906228001644	10.0	10.0
ITGA7	ENSG00000135424	0.06598987510846066	-0.12140818875372113	10.0	10.0	ENSG00000135424	0.12460724620763854	-0.09998484461504542	10.0	10.0	ENSG00000135424	0.03725621108800033	-0.21005606601778468	-0.19734666666666667	0.35003352271848964	10.0	10.0	ENSG00000135424	0.08088585574216882	-0.23138515733118745	10.0	10.0	ENSG00000135424	0.05122989590121547	-0.057777066670946044	10.0	10.0	ENSG00000135424	0.022954117867804096	-0.16533689264399237	-0.7490933333333333	0.864715336468455	10.0	10.0	ENSG00000135424	0.07681044101843945	-0.2739329096940999	10.0	10.0	ENSG00000135424	0.3589159281488128	-0.029600843191281947	10.0	10.0	ENSG00000135424	0.07926118733881837	-0.16769023211255366	-0.42314999999999997	0.9070780508249675	10.0	10.0
ITGAE	ENSG00000083457	0.9130588527889182	-0.16996029331712711	10.0	10.0	ENSG00000083457	0.5478841939399134	0.062425476709474126	10.0	10.0	ENSG00000083457	0.9046731346174035	-0.06107821149095346	0.3754666666666666	0.7790365613322877	10.0	10.0	ENSG00000083457	0.333142281469344	-0.21933129445233046	10.0	10.0	ENSG00000083457	0.4336850652756504	-0.08646174904699196	10.0	10.0	ENSG00000083457	0.30967161309514357	-0.14110340648245304	-0.37217666666666666	0.1401120624859946	10.0	10.0	ENSG00000083457	0.319188055036714	-0.031099259272943502	9.0	9.0	ENSG00000083457	0.47136373178438595	0.08850014065240515	10.0	10.0	ENSG00000083457	0.5458442719441386	-0.007660810199264023	0.3768900000000001	0.12806576566826258	9.0	9.0
ITGAM	ENSG00000169896	0.5982951524024671	-0.11846207054808615	10.0	10.0	ENSG00000169896	0.5846282698772388	-0.09024443763033614	10.0	10.0	ENSG00000169896	0.24361099866189817	-0.08451013686633334	0.04456333333333332	0.08829263130459411	10.0	10.0	ENSG00000169896	0.389415507906988	-0.23587612300239846	10.0	10.0	ENSG00000169896	0.6090589114792778	0.041682575862638356	10.0	10.0	ENSG00000169896	0.4352926667866832	-0.045487698906133	0.1726533333333334	0.11684058294832243	10.0	10.0	ENSG00000169896	0.5352876469515597	-0.10465503626329943	10.0	10.0	ENSG00000169896	0.3987467813377459	0.060555576138100455	10.0	10.0	ENSG00000169896	0.9532126214775823	-0.045394930703816366	0.91705	0.8578789216467753	10.0	10.0
ITGAX	ENSG00000140678	0.9818771876248188	0.028934618401239506	10.0	10.0	ENSG00000140678	0.9257565366701459	0.004132298437591474	10.0	10.0	ENSG00000140678	0.8456261547529469	-0.021346248031316666	0.29833	0.4850681000521646	10.0	10.0	ENSG00000140678	0.9210946066665715	-0.05344361507817197	10.0	10.0	ENSG00000140678	0.32586403086684546	0.07298258719237222	10.0	10.0	ENSG00000140678	0.48539216726325574	0.046249973797189016	0.6335633333333334	0.7338379011980178	10.0	10.0	ENSG00000140678	0.3330057525169319	-0.22605215507234336	10.0	10.0	ENSG00000140678	0.4103592409398614	0.007039836177535082	10.0	10.0	ENSG00000140678	0.8871946946016851	-0.12700214316197508	0.13593333333333324	0.8978918608587838	10.0	10.0
ITGB7	ENSG00000139626	0.4886501953061916	-0.049560777321076575	10.0	10.0	ENSG00000139626	0.06022948627345033	-0.2701237627638643	10.0	10.0	ENSG00000139626	0.09785649121206304	-0.185137351873238	-0.21113666666666667	0.450414356798828	10.0	10.0	ENSG00000139626	0.9327541657750098	-0.09552005294381034	10.0	10.0	ENSG00000139626	0.5104318565851895	-0.12451675368179989	10.0	10.0	ENSG00000139626	0.7208670698698864	-0.06518375026589505	0.6598666666666667	0.3252019429631453	10.0	10.0	ENSG00000139626	0.6658720524611861	-0.142323402638183	10.0	10.0	ENSG00000139626	0.3922008486351134	-0.06608387937782652	10.0	10.0	ENSG00000139626	0.5071852395537713	-0.165442035152192	0.7941633333333332	0.8036123388647571	10.0	10.0
ITM2C	ENSG00000135916	0.25697150528776447	-0.03585688756863609	10.0	10.0	ENSG00000135916	0.16573585888515419	-0.13046110498647698	10.0	10.0	ENSG00000135916	0.11984779743810954	-0.1795180743007944	0.22912999999999997	0.8204821997741958	10.0	10.0	ENSG00000135916	0.21199703382352675	-0.40477193708782006	10.0	10.0	ENSG00000135916	0.03268600480725268	-0.363740802978884	10.0	10.0	ENSG00000135916	0.014659152156053325	-0.3458659719980975	-0.9508799999999998	0.21373003613702057	10.0	10.0	ENSG00000135916	0.8189682907860721	-0.1757455052996435	10.0	10.0	ENSG00000135916	0.16639701767018533	-0.15845147091772604	10.0	10.0	ENSG00000135916	0.5225232982251368	-0.1986089441887278	0.7367966666666667	0.42726856610372443	10.0	10.0
ITPRIPL2	ENSG00000205730	0.606784287851132	0.014738540271034323	5.0	5.0	ENSG00000205730	0.866061290560022	-0.05213507323521274	5.0	5.0	ENSG00000205730	0.9393355592696484	0.03189023290987706	0.2115733333333334	0.9866959000731005	5.0	5.0	ENSG00000205730	0.6305140431971235	0.04976917010352586	5.0	5.0	ENSG00000205730	0.7500399371963732	-0.06034977384450535	5.0	5.0	ENSG00000205730	0.9043128014398579	0.015126491098012824	0.3747500000000001	0.13778927845016417	5.0	5.0	ENSG00000205730	0.1443259931065932	0.061744182001886916	5.0	5.0	ENSG00000205730	0.5107426242052951	-0.0757770116849369	5.0	5.0	ENSG00000205730	0.42011625340419745	0.03387647372139288	0.7777866666666666	0.1517652446157685	5.0	5.0
IZUMO1	ENSG00000182264	0.3434057324005907	-0.09605434037573464	10.0	10.0	ENSG00000182264	0.8804357542316773	0.050142980271559855	10.0	10.0	ENSG00000182264	0.6075507333413293	-0.08067249390489882	0.22564333333333333	0.24398900383749644	10.0	10.0	ENSG00000182264	0.09711827139170577	-0.22794603854595905	10.0	10.0	ENSG00000182264	0.8446815775837928	0.08080200585429152	10.0	10.0	ENSG00000182264	0.22782508271952928	-0.13307053256547355	-0.03666666666666668	0.9059290713955566	10.0	10.0	ENSG00000182264	0.679927246055714	-0.05925523772347276	10.0	10.0	ENSG00000182264	0.3474719948239884	0.04811378945816513	10.0	10.0	ENSG00000182264	0.4977204537099499	-0.034505290652189345	0.29901666666666654	0.7624045022599549	10.0	10.0
