	gamma_10	gamma_10	gamma_10	gamma_10	gamma_10	gamma_10	gamma_10	gamma_10	gamma_10	gamma_10	gamma_10	gamma_10	gamma_10	gamma_10	gamma_10	gamma_10	gamma_10	gamma_20	gamma_20	gamma_20	gamma_20	gamma_20	gamma_20	gamma_20	gamma_20	gamma_20	gamma_20	gamma_20	gamma_20	gamma_20	gamma_20	gamma_20	gamma_20	gamma_20	gamma_30	gamma_30	gamma_30	gamma_30	gamma_30	gamma_30	gamma_30	gamma_30	gamma_30	gamma_30	gamma_30	gamma_30	gamma_30	gamma_30	gamma_30	gamma_30	gamma_30
	Rep1	Rep1	Rep1	Rep1	Rep1	Rep2	Rep2	Rep2	Rep2	Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	Rep1	Rep1	Rep1	Rep1	Rep1	Rep2	Rep2	Rep2	Rep2	Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	Rep1	Rep1	Rep1	Rep1	Rep1	Rep2	Rep2	Rep2	Rep2	Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2
	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	mageck_lfc	mwp_mageck_pvalue	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	mageck_lfc	mwp_mageck_pvalue	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	mageck_lfc	mwp_mageck_pvalue	sgRNA count_MW	sgRNA count_avg
gene																																																			
AIG1	ENSG00000146416	0.4868119710477492	0.052942205079612815	10.0	10.0	ENSG00000146416	0.39022447271824867	-0.057845577377925596	10.0	10.0	ENSG00000146416	0.5720713829802077	-0.06701419914879035	0.15634333333333336	0.40564924503134636	10.0	10.0	ENSG00000146416	0.4662436226256589	0.1461395629046716	10.0	10.0	ENSG00000146416	0.3750291055387287	-0.14162079653864484	10.0	10.0	ENSG00000146416	0.9371701822330989	0.01553093670527538	1.2564533333333334	0.6245765026225141	10.0	10.0	ENSG00000146416	0.4013582845496628	0.17621341400072368	10.0	10.0	ENSG00000146416	0.1421734408529035	-0.1411040675086592	10.0	10.0	ENSG00000146416	0.8895417967982322	0.06031671883441905	2.129356666666667	0.5061627627789077	10.0	10.0
ALG10	ENSG00000139133	0.5307710733000723	0.06356248568594035	9.0	9.0	ENSG00000139133	0.0038916148299657826	-0.3368467020641701	9.0	9.0	ENSG00000139133	0.1792565225210574	-0.21253429301816681	-0.43028666666666665	0.8329069080096374	9.0	9.0	ENSG00000139133	0.7392878971902124	0.08593883159047	9.0	9.0	ENSG00000139133	0.028281369327959303	-0.29081586444307644	9.0	9.0	ENSG00000139133	0.10552522946936801	-0.17216433771850892	-0.24969999999999995	0.9393196980377881	9.0	9.0	ENSG00000139133	0.8043938345886003	-0.03994037807750448	9.0	9.0	ENSG00000139133	0.040842778606188526	-0.16089066026375828	8.0	8.0	ENSG00000139133	0.10475744423935687	-0.11297439560459277	0.29237	0.8081023798891196	8.0	8.0
ALKBH5	ENSG00000091542	0.38602203903524146	-0.08255809063019141	10.0	10.0	ENSG00000091542	0.047497865914349825	-0.2854149468795232	10.0	10.0	ENSG00000091542	0.017531565104380593	-0.16836149099868836	-0.18933	0.3839046962603754	10.0	10.0	ENSG00000091542	0.9959019354475276	0.054960086792143696	10.0	10.0	ENSG00000091542	0.2412838362274229	-0.06324280831279078	10.0	10.0	ENSG00000091542	0.47713572007197247	-0.032761160852658455	0.37428666666666666	0.10703295475385588	10.0	10.0	ENSG00000091542	0.11931296039907195	-0.12761930524835977	10.0	10.0	ENSG00000091542	0.4247269335390611	-0.08701257244568698	10.0	10.0	ENSG00000091542	0.1424241480487319	-0.07716300234982491	0.3003266666666667	0.13174048461845286	10.0	10.0
ALOX5AP	ENSG00000132965	0.9375057232881604	-0.18324423987391839	10.0	10.0	ENSG00000132965	0.19682511115929358	-0.03200291650518176	10.0	10.0	ENSG00000132965	0.5308425303910298	-0.1036885328336149	0.06379333333333333	0.3674956552853802	10.0	10.0	ENSG00000132965	0.4336850652756504	-0.11751434396577996	10.0	10.0	ENSG00000132965	0.21253487274253868	-0.26614784730301233	10.0	10.0	ENSG00000132965	0.615882995066676	-0.15761445406692517	-0.07339333333333335	0.9013351461305322	10.0	10.0	ENSG00000132965	0.13748899437351217	0.07482936663232015	9.0	9.0	ENSG00000132965	0.577572589944765	-0.15370160662260834	10.0	10.0	ENSG00000132965	0.6981777423757042	-0.041032088233390586	1.0467966666666666	0.541084048192644	9.0	9.0
AMICA1	ENSG00000160593	0.8898520192446892	0.028147493949744137	10.0	10.0	ENSG00000160593	0.7451454040509349	0.0336746611695812	10.0	10.0	ENSG00000160593	0.9046731346174035	0.05363899463439162	0.4533966666666667	0.5126773539472116	10.0	10.0	ENSG00000160593	0.6142052638142415	-0.06501185262737165	10.0	10.0	ENSG00000160593	0.4573125905524238	0.0515135236172831	10.0	10.0	ENSG00000160593	0.9547634517257955	-0.01848907627219268	0.58662	0.2174921899429605	10.0	10.0	ENSG00000160593	0.7811985502401111	-0.02617520398609614	10.0	10.0	ENSG00000160593	0.8304751888537556	-0.11039575729634125	10.0	10.0	ENSG00000160593	0.7264816766252403	-0.09142993698219165	0.6335066666666668	0.23244899638856087	10.0	10.0
AMIGO1	ENSG00000181754	0.47404964979211006	0.08946577688584882	10.0	10.0	ENSG00000181754	0.2424645043470639	-0.23186312644057253	10.0	10.0	ENSG00000181754	0.10905941578825142	-0.05040761635511104	0.2068533333333333	0.9427810132296661	10.0	10.0	ENSG00000181754	0.523720644518894	0.08495541432194294	10.0	10.0	ENSG00000181754	0.13197231141126622	-0.19975644612356622	10.0	10.0	ENSG00000181754	0.18653279587105442	-0.06788336625595932	0.1685133333333333	0.5024597860502815	10.0	10.0	ENSG00000181754	0.3857535797166525	-0.12668351349325824	10.0	10.0	ENSG00000181754	0.3550752317363529	0.042375437742184906	10.0	10.0	ENSG00000181754	0.3551450516866188	-0.08528943677215468	0.9878966666666668	0.7779245097755945	10.0	10.0
AMIGO2	ENSG00000139211	0.2765301390471443	-0.02545192273700127	10.0	10.0	ENSG00000139211	0.028296506298268312	-0.30324201518368216	10.0	10.0	ENSG00000139211	0.06008611249069109	-0.19545421377209346	-0.2164533333333333	0.8944504971338201	10.0	10.0	ENSG00000139211	0.8723381874997559	0.13919324053784518	10.0	10.0	ENSG00000139211	0.1189492960585717	-0.24081185433793914	10.0	10.0	ENSG00000139211	0.6045272502287592	-0.14294389116538633	0.16852666666666669	0.23244899638856087	10.0	10.0	ENSG00000139211	0.952159130383963	-0.03965158290853061	10.0	10.0	ENSG00000139211	0.07906377460900547	-0.1996751592245788	10.0	10.0	ENSG00000139211	0.5618842483017795	-0.1619758709817198	1.2843733333333334	0.16022241960554962	10.0	10.0
ANKLE2	ENSG00000176915	0.15794210691582034	-0.2565439468291897	10.0	10.0	ENSG00000176915	0.04984533430880838	-0.4004844769653022	10.0	10.0	ENSG00000176915	0.010902075897002038	-0.2883860634296904	-0.7594966666666667	0.2541096534021404	10.0	10.0	ENSG00000176915	0.4311040696854461	-0.10485338671056087	10.0	10.0	ENSG00000176915	0.003173922361191101	-0.3124321287487173	10.0	10.0	ENSG00000176915	0.002173682808658967	-0.17677971574101173	-0.22397666666666663	0.5070907450165261	10.0	10.0	ENSG00000176915	0.3397066830386243	-0.0301398488706823	10.0	10.0	ENSG00000176915	0.011595286118111272	-0.29610561970733174	10.0	10.0	ENSG00000176915	0.011986611856964913	-0.15944012082654274	-0.94732	0.30019085708659365	10.0	10.0
ANO6	ENSG00000177119	0.23001195966581578	-0.22497269402601194	9.0	9.0	ENSG00000177119	0.4518857626139412	-0.10268858730049964	9.0	9.0	ENSG00000177119	0.2549318431619142	-0.11798800181838198	-0.32231666666666664	0.980912447781259	9.0	9.0	ENSG00000177119	0.4764463662278229	-0.2028897509203541	9.0	9.0	ENSG00000177119	0.7486549851461806	0.04618305005115408	9.0	9.0	ENSG00000177119	0.8820109577139097	-0.09184323754949623	0.77705	0.5173572474463428	9.0	9.0	ENSG00000177119	0.7493154175120574	-0.08126855369173809	9.0	9.0	ENSG00000177119	0.526578772221113	0.04973808241375447	9.0	9.0	ENSG00000177119	0.6762757379776267	-0.05651972117628603	1.1723533333333334	0.7131903729794982	9.0	9.0
ANO7	ENSG00000146205	0.2923525672873656	-0.12582720257964256	10.0	10.0	ENSG00000146205	0.27621068917185243	-0.051553388055625066	10.0	10.0	ENSG00000146205	0.07649056957737134	-0.05471367251603909	-0.06891666666666664	0.5986453320603252	10.0	10.0	ENSG00000146205	0.16173997804398155	-0.2270536784492183	10.0	10.0	ENSG00000146205	0.1242475857919587	-0.07838342803029896	10.0	10.0	ENSG00000146205	0.06454681265787096	-0.17363282995055626	-0.11654333333333333	0.8738462437677378	10.0	10.0	ENSG00000146205	0.1313553939763265	-0.24371379509501592	10.0	10.0	ENSG00000146205	0.0541845832457323	-0.07864905445323382	10.0	10.0	ENSG00000146205	0.030051343405394317	-0.1925922432555459	-0.6623999999999999	0.7823754224443618	10.0	10.0
